Name,Category ID,Category Name,Latitude,Longitude,Popularity,Price,Rating
Bar Favela,13003,Bar,60.172028,24.920544,0.9935503685503686,Affordable,8.6
Cafe Taideterassi,13034,Café,60.181545,24.936617,0.9793256174835122,Most Affordable,8.5
Töölönlahden kierros,16019,Hiking Trail,60.18397,24.935923,0.9667334798913746,Not Listed,8.2
Fafa's Ooppera,13144,Falafel Restaurant,60.181443,24.925788,0.9194927583085478,Most Affordable,8.0
Nepalilainen Ravintola Mountain,13194,Himalayan Restaurant,60.186294,24.916939,0.9754138109401268,Affordable,7.8
Terrace,13007,Beer Garden,60.173896,24.93272,0.9334103840682788,Most Affordable,7.7
Ravintola Lukla,13194,Himalayan Restaurant,60.181697,24.926494,0.9696834992887624,Affordable,7.4
Ravintola Coma,13302,Mediterranean Restaurant,60.174648,24.927966,0.9476512996249838,Affordable,7.4
Janoinen Lohi,13006,Beer Bar,60.1851,24.917152,0.9894445881287987,Affordable,7.0
Kotipizza Topeliuksenkatu,13032,"Cafe, Coffee, and Tea House",60.184411,24.91788,0.9565094400620716,Most Affordable,6.4
Musiikkitalon terassi,13007,Beer Garden,60.173826,24.934951,0.9710655631708264,Most Affordable,6.4
Skiffer Töölö,13064,Pizzeria,60.177263,24.921958,0.9805379542221648,Most Affordable,6.2
Ravintola Famu & Bar,13003,Bar,60.179146,24.927682,0.9844497607655502,Affordable,6.1
Ravintola Hong Kong,13099,Chinese Restaurant,60.185521,24.922174,0.9458247122720808,Most Affordable,5.9
Harju 8,13027,Bistro,60.186768,24.95793,0.9917237811974654,Not Listed,8.9
Kallion Kirjasto,12080,Library,60.183555,24.953595,0.9982299883615672,Not Listed,8.8
Way Bakery and Wine Bar,13002,Bakery,60.184486,24.953365,0.989016229147808,Most Affordable,8.7
Flät no 14,13034,Café,60.183597,24.951738,0.9928310487521013,Most Affordable,8.7
Linnanmäki,10001,Amusement Park,60.188361,24.940627,0.9984805379542221,Affordable,8.6
Lie Mi,13379,Vietnamese Restaurant,60.185852,24.961755,0.9918611793611792,Affordable,8.6
Ravintola Zorbas,13177,Greek Restaurant,60.187566,24.948035,0.9835122203543257,Affordable,8.4
Bar Molotow,13003,Bar,60.188539,24.953514,0.9943585930428037,Affordable,8.3
Gastro Cafe Kallio,13034,Café,60.184854,24.953369,0.9863248415879996,Most Affordable,8.2
Sivukirjasto,13006,Beer Bar,60.184438,24.953425,0.9927502263028579,Affordable,8.1
Döner Harju,13288,Kebab Restaurant,60.18863,24.95329,0.9689399327557222,Affordable,8.1
Cafe II-Linja 23,13018,Pub,60.183078,24.945141,0.980546036467089,Most Affordable,8.0
Bar 10 Kallio,13057,Gastropub,60.185717,24.952884,0.9940353032458296,Expensive,7.8
Siltanen,10039,Music Venue,60.184093,24.960219,0.9959750420276736,Affordable,7.8
Ravintola Hämeentie - Bites Kallio,13065,Restaurant,60.184745,24.960844,0.9907539118065435,Not Listed,7.7
Beaver Bar/Majava Baari,13010,Dive Bar,60.182816,24.952688,0.9923137850769429,Most Affordable,7.4
Bar Loosister,13003,Bar,60.187069,24.961065,0.9969610759084445,Affordable,7.2
Pihka Lintulahti,13336,Scandinavian Restaurant,60.184094,24.962201,0.9942373593689384,Affordable,6.6
King Kebab Kallio,13064,Pizzeria,60.188495,24.956165,0.9841022242338032,Not Listed,6.5
Väinö Vähäkallion puiston koira-aitaus,16033,Dog Park,60.18342,24.962343,0.9621912582438898,Not Listed,6.3
William K. Kurvi,13018,Pub,60.187401,24.961338,0.9957810681494892,Expensive,6.3
Ravintola Lepakkomies,13003,Bar,60.187722,24.959661,0.9893476011897064,Most Affordable,6.1
Fairytale,13011,Gay Bar,60.187575,24.957399,0.9884666364929525,Affordable,6.0
Ravintola Oiva,13003,Bar,60.181897,24.951435,0.9962821673347987,Affordable,5.9
Grand Casino Helsinki,10008,Casino,60.172137,24.9457,0.97941452217768,Most Affordable,5.9
Lemon Grass,13352,Thai Restaurant,60.182273,24.949057,0.9886121169015906,Affordable,9.0
Kahvila Sävy,10000,Arts and Entertainment,60.189223,24.958556,0.9970580628475364,Affordable,9.0
Ravintola Tanner,13336,Scandinavian Restaurant,60.183155,24.958939,0.9913115867063236,Affordable,8.7
Daddy Greens Pizzabar - Kallio,13064,Pizzeria,60.183779,24.95129,0.9738943488943488,Most Affordable,8.3
BLINIt,13330,Blini House,60.18786,24.945191,0.9749207939997414,Not Listed,8.0
Pihvipaikka Karhunpesä,13032,"Cafe, Coffee, and Tea House",60.185388,24.943457,0.986615802405276,Most Expensive,7.5
Skiffer Kallio,13064,Pizzeria,60.185384,24.952611,0.965311004784689,Most Affordable,7.5
Zen Sushi,13276,Sushi Restaurant,60.174368,24.952807,0.9735225656278288,Affordable,7.5
Hilpeä Hauki,13006,Beer Bar,60.188455,24.959716,0.9845305832147935,Affordable,7.4
