Name,Category Alias,Category Title,Latitude,Longitude,Price,Rating
Fratello Torrefazione,coffee,Coffee & Tea,60.1697858000198,24.9479163361776,Affordable,4.3
Pastor,latin,Latin American,60.1660614,24.9430008,Expensive,4.3
Ravintola Nokka,scandinavian,Scandinavian,60.1690225729284,24.960840976999,Expensive,4.3
Pörssiklubi,restaurants,Restaurants,60.1684113,24.9486008,Not Listed,5.0
Eat Poke Helsinki,seafood,Seafood,60.16958,24.94461,Not Listed,5.0
Penelope,restaurants,Restaurants,60.17002,24.94596,Not Listed,5.0
Casa Chipotle,"mexican, coffee","Mexican, Coffee & Tea",60.1645288454964,24.927932633924,Not Listed,5.0
PASSIO Keittiö ja Baari,modern_european,Modern European,60.1670838,24.9369496,Most Expensive,4.8
Kafe Moskova,russian,Russian,60.1670113,24.9338894,Affordable,4.7
Momo Toko,ramen,Ramen,60.16616,24.9339,Not Listed,4.7
Pompier,scandinavian,Scandinavian,60.1649543127515,24.9331962618671,Affordable,4.6
Kino Andorra & Dubrovnik,danceclubs,Dance Clubs,60.1670113,24.9338894,Affordable,4.6
Kissakahvila Helkatti,coffee,Coffee & Tea,60.1672089,24.933314,Affordable,4.6
Bar Mendocino,pubs,Pubs,60.1657849,24.931525,Most Affordable,4.5
Fulbari,himalayan,Himalayan/Nepalese,60.1573629,24.9320834,Affordable,4.8
Haru Sushi,sushi,Sushi Bars,60.1649,24.93562,Not Listed,5.0
Ravintola Grön,vegetarian,Vegetarian,60.16445,24.93233,Not Listed,5.0
Domo,japanese,Japanese,60.1665611,24.9349804,Expensive,4.4
A21 Decades,lounges,Lounges,60.1667658,24.9372628,Expensive,4.4
Casa Italia,italian,Italian,60.164694199889,24.9379016252986,Affordable,4.4
Milli Miglia,bars,Bars,60.16494,24.93192,Affordable,4.4
100 Dogs,cocktailbars,Cocktail Bars,60.1666505261397,24.9308481417667,Affordable,4.3
Aangan,himalayan,Himalayan/Nepalese,60.1631012,24.9274998,Affordable,4.3
Phó Viét,vietnamese,Vietnamese,60.1678284709583,24.9374913705416,Not Listed,4.8
Patisserie Teemu & Markus,desserts,Desserts,60.1678773247786,24.9379374190249,Most Affordable,4.7
Fisken på Disken,seafood,Seafood,60.1693314661659,24.9338641883605,Not Listed,4.6
Hoku,hawaiian,Hawaiian,60.1693803135216,24.9339735867197,Affordable,4.5
Rulla,vietnamese,Vietnamese,60.1676712,24.9375,Affordable,4.4
Huutokonttori Kanttiini,cocktailbars,Cocktail Bars,60.1599353623284,24.920930087362,Most Affordable,5.0
Farang,asianfusion,Asian Fusion,60.171019,24.9335388,Most Expensive,4.4
Konstan Möljä,scandinavian,Scandinavian,60.1638184,24.9264202,Affordable,4.3
Cargo,breakfast_brunch,Breakfast & Brunch,60.1629543079833,24.9225186352618,Affordable,4.3
Twisted Street Kitchen,asianfusion,Asian Fusion,60.1705391,24.9282393,Most Affordable,4.3
Kippo,juicebars,Juice Bars & Smoothies,60.16881,24.937288,Most Affordable,4.3
Café DaJa,german,German,60.17145,24.95704,Affordable,4.6
Kansalliskirjasto,libraries,Libraries,60.1704494600943,24.950331910671,Not Listed,4.6
Hoshito,japanese,Japanese,60.1715202,24.9259109,Expensive,4.6
Ask,scandinavian,Scandinavian,60.1721611,24.9558907,Most Expensive,4.5
Deli & Cafe Corretto,delis,Delis,60.17362,24.93174,Not Listed,5.0
Kansallisarkisto,education,Education,60.1721191,24.9524994,Not Listed,4.5
Kaisaniemen puiston kioski,kiosk,Kiosk,60.1735115,24.9496593,Not Listed,4.5
Mizu,japanese,Japanese,60.17477,24.92566,Affordable,4.9
Marocco,coffee,Coffee & Tea,60.1750488,24.9282303,Not Listed,4.9
Kirjasto 10,libraries,Libraries,60.1714751267411,24.9387678587029,Not Listed,4.4
Flying Dutch,musicvenues,Music Venues,60.1768941813989,24.9490928649902,Affordable,4.5
Qulma,brasseries,Brasseries,60.1714516,24.9570408,Affordable,4.4
Suomalaisen Kirjallisuuden Seura,libraries,Libraries,60.1702309,24.9562092,Not Listed,4.3
Kuurna,modern_european,Modern European,60.170205122233,24.958416669608,Expensive,4.3
Kaisla,pubs,Pubs,60.1719284,24.9468193,Affordable,4.3
Rodolfo,italian,Italian,60.171038691879,24.957663516225,Affordable,4.2
Svenska Klubben,restaurants,Restaurants,60.1740494,24.9593201,Most Expensive,4.7
Kolme Kruunua,scandinavian,Scandinavian,60.174376987984,24.958932832065,Affordable,4.2
Niska Helsinki,pubs,Pubs,60.16898,24.95993,Not Listed,5.0
Sköne,beerbar,Beer Bar,60.1688211011284,24.9590653546311,Not Listed,5.0
Norilla,comfortfood,Comfort Food,60.1732351,24.9590707,Not Listed,5.0
SkyWheel Helsinki,amusementparks,Amusement Parks,60.1667341228077,24.9594781909523,Not Listed,4.0
Bellevue,russian,Russian,60.1686211,24.9615498,Expensive,4.0
Ravintola Everest Katajanokka,himalayan,Himalayan/Nepalese,60.16771,24.96637,Affordable,3.9
Savu,scandinavian,Scandinavian,60.1736097865764,24.9685359710627,Most Expensive,3.9
Majakkalaiva Relandersgrund,bars,Bars,60.1691618330407,24.9587059020996,Expensive,3.9
Doi Thai,thai,Thai,60.17124,24.95896,Affordable,3.8
No. 5,vietnamese,Vietnamese,60.17136,24.9575806,Not Listed,4.3
Key West Pub,restaurants,Restaurants,60.1659317,24.9643803,Affordable,4.5
Le Petit Chaperon Rouge,wine_bars,Wine Bars,60.16901,24.96135,Affordable,4.5
