Name,Category Alias,Category Title,Latitude,Longitude,Distance,Price,Rating
Eka Kebab Pizzeria,pizza,Pizza,60.2930897239661,25.0379718313145,881.3951230773084,,5.0
Hao King,chinese,Chinese,60.292141,25.0435791,618.0118133902208,€,4.7
Hesburger,burgers,Burgers,60.2922096,25.0415993,805.8119493752762,,5.0
Xona,pizza,Pizza,60.3047800845866,25.0419797137935,860.4767911214985,,5.0
Thai Palace,thai,Thai,60.29245,25.0398903,890.4025078316618,,4.3
La Pasteria Italiana,italian,Italian,60.292141,25.0435791,618.0118133902208,€€,5.0
Oklahoma,tradamerican,American,60.2936607259828,25.0346591413232,993.9814916309291,€,3.9
Chico's,tradamerican,American,60.2935024383154,25.0367432748749,906.9748449862027,,4.3
Oriental House,chinese,Chinese,60.29245,25.0398903,890.4025078316618,€€,3.7
Tamarin,thai,Thai,60.2935291,25.0344032,1013.5785390861207,€,3.6
Sagarmatha,himalayan,Himalayan/Nepalese,60.2933617,25.03158,1316.0081296870346,€€,3.8
Hertas,karaoke,Karaoke,60.2908783,25.0419407,942.0566116202352,,4.0
Hua Hin,buffets,Buffets,60.2900085,25.0362301,1189.3899775477153,€€,4.0
Tikkurilan Kirjasto,libraries,Libraries,60.2950211,25.0423203,527.3255201787067,,4.0
Tulisuudelma,bars,Bars,60.2908783,25.0419407,942.0566116202352,,4.0
Pingviini Street Bar,bars,Bars,60.2931495253492,25.0372042419804,910.0138053908605,,4.0
Hemingway's,bars,Bars,60.2922096,25.0415993,805.8119493752762,€€,4.0
Huang Shang Huang,chinese,Chinese,60.2933083,25.0328598,1100.7121253924176,,4.0
Shamrock,bars,Bars,60.2933617,25.03158,1316.0081296870346,,3.5
Picnic,coffee,Coffee & Tea,60.2928658,25.0345211,1058.7716436908884,€,3.5
Grande Parilla,mediterranean,Mediterranean,60.292141,25.0435791,618.0118133902208,€€,3.5
Amarillo,tex-mex,Tex-Mex,60.2907874,25.0418655,943.5475738560759,€€€,2.5
Masterpizza Tikkurila,pizza,Pizza,60.2926102,25.0429592,751.2529702588498,,3.0
Torello,bars,Bars,60.2937004678157,25.0344693655257,1000.7865739588466,,3.0
Long Hua,japanese,Japanese,60.2936434537629,25.0349624454975,980.6125511886903,€€,3.0
Maltainen Metso,bars,Bars,60.292141,25.0435791,618.0118133902208,,3.0
Old Story,sportsbars,Sports Bars,60.293663,25.0339451,1041.244793485239,€€,3.0
3 Amigos,mexican,Mexican,60.2925704538395,25.0369150936604,963.1572650619908,€,2.0
Fuudii,buffets,Buffets,60.2959430305966,24.9242308061701,1063.4526522929875,€€,5.0
Night Pub,pubs,Pubs,60.2839394,24.8716793,292.80142587774475,,4.0
Wanha Apotheca,comfortfood,Comfort Food,60.2904816,24.8683605,1032.4308550817595,,4.0
Hesburger,burgers,Burgers,60.27774,24.86816,620.8152425274518,,4.0
Pikku-Santorini,greek,Greek,60.29079,24.96904,847.6429319161394,€€€€,4.2
Rax,buffets,Buffets,60.2907191221761,24.9694307148457,875.1452734383842,€,5.0
Hesburger,burgers,Burgers,60.2902585944625,24.9608496148259,624.7375869138256,€,5.0
Il Siciliano,italian,Italian,60.29079,24.96904,830.5947383057965,,3.8
Amarillo,bbq,Barbeque,60.29079,24.96904,830.5947383057965,€€€,3.6
Classic Pizza,pizza,Pizza,60.2907681,24.962113,693.5778230950895,€€,3.4
Chico's,tradamerican,American,60.29,24.9647,662.720075663435,€€€,4.0
Makaronitehdas,restaurants,Restaurants,60.292019177819,24.9631539190099,842.5220237061869,,3.5
Picnic,coffee,Coffee & Tea,60.2924309,24.9639893,853.1235253383019,,4.0
La Famiglia,italian,Italian,60.29079,24.96904,847.6429319161394,€€,3.3
Jufu,chinese,Chinese,60.2836303349548,24.9715617288958,691.6710584236728,€,3.3
Pointin Kirjasto,libraries,Libraries,60.2851295,24.9572105,34.825091268895314,,3.5
Rosso Express,italian,Italian,60.2909164,24.9620857,693.5778230950895,€,3.5
Parilla Steak House,steak,Steakhouses,60.29079,24.96904,830.5947383057965,€€,2.6
Long City,chinese,Chinese,60.2776284805477,24.9715930539279,1041.6316824878518,,3.0
Classic American Diner,tradamerican,American,60.2903540483517,24.9631965318403,666.1683981161374,€€,3.0
Hanko Sushi,sushi,Sushi Bars,60.2907681,24.962113,693.5778230950895,€€,2.3
Hua Du,chinese,Chinese,60.2905067282116,24.9689217274844,839.0340983232904,,2.3
Fonda Del Sol,mexican,Mexican,60.2923851,24.9656029,942.8519820431059,€€,1.8
Hesburger,hotdogs,Fast Food,60.2728543719875,24.9716334887386,495.2918611726097,€,5.0
Long City,chinese,Chinese,60.2776284805477,24.9715930539279,984.4581602938568,,3.0
Wanha Pehtoori,bbq,Barbeque,60.2751376844527,24.9538367932035,980.6318859886119,,3.0
Ravintola Konja 1,bars,Bars,60.2611008,24.9842796,1298.7461901361266,,3.0
McDonald's,burgers,Burgers,60.27089,24.97465,481.3474632961699,,2.5
Hesburger,burgers,Burgers,60.27774,24.86816,1270.954844918277,,4.0
Limone,italian,Italian,60.31744,24.84678,255.06001367880768,€€,3.0
Allun Grilli Moottori-Ravintola,bbq,Barbeque,60.2646103,24.8527298,590.9836804723991,€€,4.5
Mike's Diner,tradamerican,American,60.2615078166477,24.8549295589328,971.2209306834205,,4.0
Myyrmäen kirjasto,libraries,Libraries,60.2613487,24.8529301,979.0225964487097,,3.3
Länsi-Vantaan Hammaslääkärit,dentists,Dentists,60.2626686,24.8502293,855.8805767799191,,4.0
Katukeittiö Pilvi,chinese,Chinese,60.2634709145627,24.8533391559157,748.2786854585879,,4.0
Hesburger,burgers,Burgers,60.27774,24.86816,1163.4081131794276,,4.0
Ravintola Tilicho,himalayan,Himalayan/Nepalese,60.2638847143319,24.8512510934873,710.4042943432991,€€,2.3
Rio Grande,mexican,Mexican,60.26181,24.85506,937.7375957392338,€€,2.5
Ullan Grilli,hotdogs,Fast Food,60.2711781572948,24.8557930542293,179.65236777601925,,2.5
Toppari,irish_pubs,Irish Pub,60.261470857113,24.8550043870198,975.7231002819954,€€€,1.0
Luna,divebars,Dive Bars,60.26461,24.85273,590.1199965033447,,1.0
Xona,pizza,Pizza,60.3047800845866,25.0419797137935,1287.504450284149,,5.0
Souvlaki,kiosk,Kiosk,60.2934447404233,25.0301260873675,883.1458733954056,,5.0
Tixident,dentists,Dentists,60.2939186,25.0308704,880.634766032172,,5.0
Oklahoma,tradamerican,American,60.2936607259828,25.0346591413232,1077.5921478527912,€,3.9
Tamarin,thai,Thai,60.2935291,25.0344032,1072.6308334965624,€,3.6
Sagarmatha,himalayan,Himalayan/Nepalese,60.2933617,25.03158,1267.6351017466689,€€,3.8
Huang Shang Huang,chinese,Chinese,60.2933083,25.0328598,1005.6486536906225,,4.0
Bistro Liekki,bistros,Bistros,60.2929434070513,25.0319295,995.7564051489717,,4.0
Shamrock,bars,Bars,60.2933617,25.03158,1267.6351017466689,,3.5
Picnic,coffee,Coffee & Tea,60.2928658,25.0345211,1106.201893703023,€,3.5
Torello,bars,Bars,60.2937004678157,25.0344693655257,1066.3105020553517,,3.0
Long Hua,japanese,Japanese,60.2936434537629,25.0349624454975,1093.1279925571716,€€,3.0
Old Story,sportsbars,Sports Bars,60.293663,25.0339451,1030.9280549446921,€€,3.0
Elvis Burger,burgers,Burgers,60.30116,25.02484,504.16519911193774,€,2.5
Eka Kebab Pizzeria,pizza,Pizza,60.2930897239661,25.0379718313145,751.0349678191125,,5.0
Hao King,chinese,Chinese,60.292141,25.0435791,418.55440799343484,€,4.7
Hesburger,burgers,Burgers,60.2922096,25.0415993,573.9094147872646,,5.0
Thai Palace,thai,Thai,60.29245,25.0398903,659.0272579354888,,4.3
La Pasteria Italiana,italian,Italian,60.292141,25.0435791,418.55440799343484,€€,5.0
Oklahoma,tradamerican,American,60.2936607259828,25.0346591413232,936.390176510905,€,3.9
Chico's,tradamerican,American,60.2935024383154,25.0367432748749,820.5662156859073,,4.3
Oriental House,chinese,Chinese,60.29245,25.0398903,659.0272579354888,€€,3.7
Tamarin,thai,Thai,60.2935291,25.0344032,949.4333357551412,€,3.6
Hertas,karaoke,Karaoke,60.2908783,25.0419407,593.5172680783938,,4.0
Hua Hin,buffets,Buffets,60.2900085,25.0362301,906.5493247289824,€€,4.0
Tikkurilan Kirjasto,libraries,Libraries,60.2950211,25.0423203,596.3181084527166,,4.0
Tulisuudelma,bars,Bars,60.2908783,25.0419407,593.5172680783938,,4.0
Pingviini Street Bar,bars,Bars,60.2931495253492,25.0372042419804,793.4395546149962,,4.0
Hemingway's,bars,Bars,60.2922096,25.0415993,573.9094147872646,€€,4.0
Picnic,coffee,Coffee & Tea,60.2928658,25.0345211,954.3587373434502,€,3.5
Grande Parilla,mediterranean,Mediterranean,60.292141,25.0435791,418.55440799343484,€€,3.5
Amarillo,tex-mex,Tex-Mex,60.2907874,25.0418655,590.1593092922135,€€€,2.5
Masterpizza Tikkurila,pizza,Pizza,60.2926102,25.0429592,447.3608752240371,,3.0
Torello,bars,Bars,60.2937004678157,25.0344693655257,947.1682170578628,,3.0
Long Hua,japanese,Japanese,60.2936434537629,25.0349624454975,919.5782756825207,€€,3.0
Maltainen Metso,bars,Bars,60.292141,25.0435791,418.55440799343484,,3.0
Old Story,sportsbars,Sports Bars,60.293663,25.0339451,990.3714858634132,€€,3.0
Café Einstein,coffee,Coffee & Tea,60.2876015,25.0406494,939.683998307848,€€,2.3
3 Amigos,mexican,Mexican,60.2925704538395,25.0369150936604,810.6141453596985,€,2.0
Eka Kebab Pizzeria,pizza,Pizza,60.2930897239661,25.0379718313145,409.2588209319712,,5.0
Hao King,chinese,Chinese,60.292141,25.0435791,189.36734275540678,€,4.7
Hesburger,burgers,Burgers,60.2922096,25.0415993,216.78343817556168,,5.0
Souvlaki,kiosk,Kiosk,60.2934447404233,25.0301260873675,837.4287747076049,,5.0
Tixident,dentists,Dentists,60.2939186,25.0308704,817.7000342483911,,5.0
