Foursquare Name,Foursquare Search,Foursquare Category,Latitude,Longitude,Foursquare Popularity,Foursquare Price,Foursquare Rating,Rounded Latitude,Rounded Longitude,ID
Spaghetteria,13236,Italian Restaurant,60.161683,24.737244,0.945313879391984,Affordable,0.0,60.162,24.737,60.162_24.737
Vox - Ison Omenan Kirjaston Nuortentila,12080,Library,60.162056,24.738142,0.2274762844898155,Not Listed,0.0,60.162,24.738,60.162_24.738
Samba Kitchen,13276,Sushi Restaurant,60.161781,24.737125,0.0995971172212324,Affordable,0.0,60.162,24.737,60.162_24.737
Capella Bistro,13003,Bar,60.162559,24.739444,0.9884913564790292,Affordable,0.0,60.163,24.739,60.163_24.739
HSL E1148 Mestarinsilta,19043,Bus Stop,60.226383,24.825485,0.6870355210991798,Not Listed,0.0,60.226,24.825,60.226_24.825
HSL E3143 Kalastajamäki kp,19043,Bus Stop,60.157787,24.726443,0.0296945474390459,Not Listed,0.0,60.158,24.726,60.158_24.726
Mr. Döner,13288,Kebab Restaurant,60.162556,24.737756,0.8562141859681225,Not Listed,0.0,60.163,24.738,60.163_24.738
Kainan,13146,Filipino Restaurant,60.162563,24.737861,0.2075247588321215,Affordable,0.0,60.163,24.738,60.163_24.738
Pizza Hut Matinkylä,13064,Pizzeria,60.162581,24.738966,0.9883308454117912,Most Affordable,0.0,60.163,24.739,60.163_24.739
HSL E3111 Piispanaukio,19043,Bus Stop,60.162581,24.738966,0.7160880242692733,Not Listed,0.0,60.163,24.739,60.163_24.739
Stadin Chili,13145,Fast Food Restaurant,60.223296,24.810036,0.0743647774514052,Affordable,0.0,60.223,24.81,60.223_24.81
HSL E1012 Gransinmäki,19043,Bus Stop,60.222845,24.803803,0.9735477761191632,Not Listed,0.0,60.223,24.804,60.223_24.804
HSL E1018 Rautakiskonkuja,19043,Bus Stop,60.228858,24.816573,0.6646763294329144,Not Listed,0.0,60.229,24.817,60.229_24.817
HSL E1017 Rautakiskonkuja,19043,Bus Stop,60.228876,24.817682,0.2751801736729747,Not Listed,0.0,60.229,24.818,60.229_24.818
HSL E1009 Vallikuja,19043,Bus Stop,60.227773,24.820955,0.8012230943323542,Not Listed,0.0,60.228,24.821,60.228_24.821
Popomama,13106,Dim Sum Restaurant,60.161599,24.737573,0.9532752283269932,Affordable,7.8,60.162,24.738,60.162_24.738
Ravintola Aangan,13194,Himalayan Restaurant,60.160537,24.738195,0.9786359769506108,Not Listed,7.4,60.161,24.738,60.161_24.738
Subway,13039,Deli,60.160494,24.739151,0.8510457296030561,Most Affordable,7.1,60.16,24.739,60.16_24.739
Espoon kaupunginkirjasto Kirjasto Omena,12080,Library,60.160071,24.739104,0.9631306078554116,Not Listed,6.9,60.16,24.739,60.16_24.739
