latitude,longitude,free_bikes
60.182976,24.78576,15
60.21398072,25.13423251,4
60.150395628620245,24.915862667368163,0
60.22088947,25.11091442,6
60.188706,24.780478,18
60.15693191359567,24.912200440174857,12
60.23128135,25.12759698,24
60.181104,24.962129,2
60.23674091,25.11830002,4
60.194599,24.769021,28
60.199235425819,24.937826370875783,2
60.23296145,25.11106023,35
60.205577,24.962152,0
60.23853535,25.10987474,36
60.206626437691405,24.922219888430064,0
60.23884425,25.10072322,12
60.20767995961701,24.898667890628126,4
60.229825,25.09006415,7
60.211075296273414,24.881660254358646,11
60.22352658,25.08297117,18
60.21560492,24.87541595,0
60.22829039,25.07164165,1
60.21789962,24.87104647,3
60.177749,24.784654,4
60.23609535,25.08260956,5
60.218807358014985,24.85566795479381,8
60.24091394,25.08552977,8
60.17465,24.779428,11
60.21227524113252,24.899551136356806,2
60.24384164,25.07622658,5
60.21661653745581,24.89954369574049,4
60.23990429,25.07464334,7
60.176107,24.769667,9
60.2180455,24.89186323,2
60.23913101,25.06685726,6
60.22229427877046,24.875870912746144,2
60.23319439,25.06260837,31
60.179769,24.759092,25
60.224166,24.858046,4
60.23046218,25.05491523,11
60.22691,24.853805,11
60.23703582,25.05246958,6
60.171127,24.775913,30
60.227143233822176,24.873227365442304,1
60.25377123,25.07437759,6
60.230151499496536,24.88312884546424,8
60.25943112,25.06489421,17
60.23285213757895,24.887434554817386,7
60.170758,24.763184,14
60.26101941,25.0759056,11
60.229488,24.895199,11
60.27019655,25.07271271,10
60.166481,24.772708,7
60.20969562580255,24.868739477207995,7
60.22534052315868,24.894792651160333,5
60.27008566,25.05753557,22
60.2059946,24.8798291,7
60.22197553556329,24.903286646676616,3
60.223785,25.021597,1
60.16269,24.775853,24
60.22769079,24.90637276,6
60.2751896,25.03435012,10
60.208925,24.8895209,4
60.22794236805671,24.926564764263762,19
60.165526,25.012858,11
60.162477,24.767831,3
60.2056785,24.8916817,17
60.23131508,24.93504574,3
60.27579858,25.02766253,7
60.2028392,24.8934761,8
60.23910894200569,24.92859501499382,14
60.28075608,25.01106298,17
60.158048,24.769864,23
60.2034735,24.8989297,5
60.22440378465167,24.952561243589713,1
60.27446709,24.98939662,9
60.2024393,24.9054609,7
60.2307028705708,24.9487651621967,3
60.219208,24.929044,13
60.20499,24.918419,10
60.2325155,24.95788852,1
60.202539,24.922458,24
60.154941,24.773993,10
60.26714677,24.99299022,8
60.22886563,24.96354222,14
60.2675063,25.01357237,10
60.1591405,24.782477,8
60.199151,24.924873,0
60.23370685633967,24.96539507775229,1
60.26330395,25.02812397,8
60.1975724,24.9267808,4
60.228176,24.967885,18
60.2632143,25.0368876,23
60.158194,24.791754,3
60.2014382,24.9332721,22
60.22493036511101,24.972819375145058,3
60.25909157,25.02909058,12
60.1624471,24.7848628,13
60.198210866794,24.9327990790329,24
60.23178406584145,24.978138919040457,17
60.26090681,25.01765775,1
60.1637,24.790132,16
60.196431,24.936256,3
60.217214807977534,24.984420078358692,19
60.26088465,25.00331024,22
60.1942095,24.941578,7
60.224212141004635,24.98860011548657,6
60.25969904,24.98975388,10
60.19113575,24.9402049,27
60.23030192663912,24.998533819860555,5
60.25667117,24.99860558,14
60.1896706,24.9481024,10
60.234578571034135,25.010313905081038,1
60.25415862,25.00282802,13
60.1895417,24.9521601,5
60.227520671727405,25.010062061139756,32
60.19118046,24.95507679,2
60.25232553,25.00912157,9
60.227495295832895,25.02761893353016,10
60.25756333,25.01310802,13
60.1896352,24.9635596,0
60.2340530100318,25.032857400999006,12
60.25339409,25.02149008,22
60.18645529,24.96785144,3
60.23033717886547,25.04356806988234,14
60.24269283,25.0297267,4
60.1837182,24.9621936,5
60.181861779166056,24.992037110168354,19
60.25030635,25.01323714,0
60.180098,24.954592,17
60.18588749805257,25.00601922389024,12
60.24684531,25.00786044,8
60.18265182058,24.98179260578,11
60.188950088551046,25.006566530899704,30
60.24982656,25.00399305,3
60.18592173,24.97973856,12
60.187998177032696,25.015391648483803,4
60.187786,24.977032,5
60.168376,25.01604,10
60.24773234,24.99172391,12
60.1896994,24.9711926,10
60.17095988,25.03279498,2
60.24308645,24.99399523,10
60.1920576,24.9642238,2
60.17550749,25.05311105,14
60.1942342,24.9579931,3
60.23931968,25.00136762,29
60.167730503345986,25.047496264887712,10
60.24049485,24.99138726,14
60.193459,24.948761,9
60.18009213610057,25.05188370479307,11
60.24521779,24.98332148,11
60.1962627,24.9476186,1
60.18374384938291,25.053037859101934,6
60.23556664,24.97154425,1
60.19914958,24.94782519,8
60.19164687919301,25.06118417092495,17
60.24198627,24.95944938,13
60.1974886,24.9614385,0
60.187234122757424,25.036412289626025,12
60.24885591,24.95814405,10
60.198537,24.967592,19
60.18795810306132,25.031385306773423,30
60.257183,24.943635,10
60.2010614,24.9440506,6
60.190210145879014,25.026065710136564,11
60.25523561,24.91830089,2
60.2032721,24.9513636,4
60.19100958139025,25.037070035460086,2
60.24699181,24.92385807,6
60.20292024,24.96577119,5
60.19270789626325,25.042580274921047,5
60.24950971,24.94166821,17
60.20649156514502,24.977079011778606,7
60.19313762536413,25.031111942585127,4
60.209796,24.979682,25
60.2327348,24.90975085,3
60.194614624348006,25.02887208274608,13
60.24448845,24.89943434,10
60.2137007,24.9797283,16
60.19912713758262,25.042592465753465,13
60.25161764,24.89695993,20
60.2078582,24.9676383,2
60.20596244959136,25.04516115672629,8
60.25925606,24.8927574,20
60.20876151,24.94668935,5
60.19844295116548,25.032112127941765,1
60.25280663,24.88410754,2
60.15708560052,24.86930605276,13
60.204561663649095,25.033597412211737,3
60.2432353,24.88610263,9
60.2139043,24.9588108,13
60.20947670530612,25.037482215660486,8
60.24374634,24.8788005,19
60.213421,24.9437964,1
60.215063371665806,25.04379377901174,3
60.23633055,24.88947967,12
60.2172043,24.9544112,8
60.20959632,25.05736634,42
60.23780652,24.88145171,11
60.2208057097763,24.9479290250383,2
60.19553971683871,25.053580944057305,21
60.23934599,24.87664725,4
60.2184427,24.9664619,13
60.1987054995554,25.05854933123242,7
60.183164,24.9441949,4
60.23915611,24.86911,19
60.202072986712835,25.060046596074795,0
60.24590853,24.86771102,15
60.174646,24.935186,0
60.205745,25.057488,10
60.24323344,24.85729796,4
60.20432489166999,25.07606935994523,14
60.24764481,24.86266771,11
60.25156469,24.85743226,12
60.20899759942336,25.086782105520793,19
60.25555748,24.84658097,5
60.20960066552812,25.07596801515546,7
60.25040779,24.84864869,0
60.21249416558419,25.08232209439382,17
60.24474377,24.84758603,10
60.20360955659899,25.086296156701028,12
60.2388821,24.85129051,7
60.209059633662385,25.100426060233303,14
60.23245104,24.84616505,19
60.21250990784526,25.10619874297898,4
60.212182,25.095697,8
60.21482071331432,25.09112452769074,2
60.16723083051,24.94746581951,4
60.21869709,25.10221935,15
60.16957343209,24.92659049777,1
60.21985096601641,25.077470244052627,9
60.1818132200983,24.8504396679317,20
60.22408646778726,25.075395792228694,1
60.22356519670723,25.0654218381558,11
60.21825196984328,25.05910387617357,5
60.195225,24.962832,3
60.211446,25.065816,5
60.212701,24.969956,0
60.1799061407845,24.9825269338027,0
60.22030391,24.93373696,6
60.2038803,24.8708833,7
60.2071193,24.8559544,16
60.180118,24.771826,10
60.209017,24.835356,7
60.169718,24.937737,0
60.258982,24.845093,1
60.322202,25.041741,0
60.305651,25.023289,1
60.26248,24.847996,16
60.269919,24.846262,4
60.300919,25.054844,8
60.260504,24.839131,2
60.301857,25.023022,4
60.31568,25.099649,8
60.322365,25.082665,4
60.248309,24.842282,146
60.265855,24.973255,3
60.30306,25.04623,11
60.277484,24.853032,4
60.304728,25.049303,4
60.298773,25.0626,1
60.289604,24.95928,3
60.320133,25.063381,12
60.289209,25.030103,3
60.312475,25.044498,17
60.29472,25.041859,5
60.293216,25.042426,3
60.310534,25.03073,10
60.27922,24.814618,0
60.257898,24.867183,9
60.293995,24.972137,2
60.30255,24.954782,1
60.277825,24.867403,7
60.286306,25.030498,1
60.29961,25.028427,8
60.294825,24.844224,2
60.296321,25.039783,0
60.287829,25.033286,3
60.293413,25.036411,7
60.298238,25.050165,2
60.30353,24.912385,2
60.281898,24.875314,4
60.315568,25.040693,6
60.284701,24.959207,6
60.269092,24.966753,5
60.285229,24.849112,1
60.315565,24.849596,4
60.270159,24.85318,15
60.313457,25.026576,6
60.298357,25.017637,3
60.323272,25.059884,11
60.293027,25.05158,4
60.291863,25.044952,7
60.291098,25.022012,2
60.322594,24.84152,1
60.271084,24.803851,6
60.30467,24.965959,0
60.268954,24.820185,6
60.294786,24.922311,0
60.260966,24.85481,10
60.289566,24.948991,4
60.26555,24.852125,2
60.317041,25.026532,0
60.263718,24.840966,7
60.293565,25.02995,4
60.295268,24.907064,0
60.29155,25.017565,2
60.295238,25.048959,1
60.281198,24.966026,9
60.323203,25.037522,2
60.305433,24.958831,0
60.301463,25.04101,1
60.291738,25.042417,7
60.269449,24.878987,8
60.261874,24.806577,4
60.331727,25.06126,1
60.327625,25.096757,2
60.284607,24.9107,24
60.307614,24.850754,5
60.295917,24.962797,1
60.257154,24.852674,5
60.254641,24.814555,6
60.290333,24.866343,3
60.304788,25.041523,0
60.274797,24.857056,0
60.295696,25.059506,2
60.294026,25.018708,8
60.299485,25.04187,3
60.28178,24.848385,5
60.256599,24.805655,3
60.304383,25.033609,2
60.29024,24.964363,1
60.306742,24.89866,0
60.32175,24.853488,9
60.30122,24.856554,16
60.320688,25.072953,12
60.2963,24.891487,3
60.29574,25.033618,4
60.306155,25.028634,0
60.313265,25.035116,8
60.324463,25.040961,1
60.290927,24.962398,0
60.299896,24.973481,8
60.276218,24.970321,4
60.294775,25.044587,5
60.27952,24.956351,7
60.289963,24.968076,2
60.279126,24.840024,5
60.262773,24.854638,6
60.279095,24.861178,3
60.323628,25.061809,13
60.313387,24.968139,1
60.263919,24.871641,4
60.333005,25.067436,5
60.283192,24.872494,7
60.307504,25.035939,7
60.314238,25.112538,13
60.268743,24.872483,6
60.300509,24.932671,1
60.282496,24.974475,11
60.285346,25.044907,1
60.29216,25.006456,5
60.288622,25.041903,12
60.293519,24.94836,6
60.259273,24.830079,0
60.293603,25.025384,0
60.265119,24.881599,16
60.277978,24.821893,7
60.318755,24.849931,1
60.27584,24.845512,5
60.318471,24.831207,3
60.250978,24.986935,27
60.184706,24.925512,5
