Name,Latitude,Longitude,Distance,Price,Rating,Distance_mean,Distance_min,Distance_max,Bike Spots Near,Category,Rounded Latitude,Rounded Longitude,Rounded Distance,Rounded Distance_mean
Cafe Panik,60.1603630062143,24.9403458461165,779.6860994770122,Not Listed,5.0,846.1615780336297,779.6860994770122,912.6370565902472,2,Coffee & Tea,60.16,24.94,779.686,846.162
Guo Ji,60.1582108,24.9363308,812.1283381501089,Not Listed,5.0,774.3286096920792,607.3104331372534,903.5470577888756,3,Chinese,60.158,24.936,812.128,774.329
Ravintola Vinkkeli,60.1639,24.94641,652.0509054879301,Most Expensive,5.0,652.8205532915579,104.41720654848194,993.930058822834,28,Modern European,60.164,24.946,652.051,652.821
Ravintola Savoy,60.1666412,24.9473209,841.6784000236386,Most Expensive,4.8,590.3797667079725,18.963961616784243,996.3734387047638,28,Restaurants,60.167,24.947,841.678,590.38
Chef & Sommelier,60.15766,24.94254,837.4419214067293,Most Expensive,4.8,641.8000232845052,134.0349747295965,943.5114574717826,14,Scandinavian,60.158,24.943,837.442,641.8
Krog Roba,60.16454,24.94722,644.1115389919446,Expensive,4.8,635.454797968734,137.1515887306408,959.7530164212852,27,Scandinavian,60.165,24.947,644.112,635.455
Spis,60.1636314,24.9476795,536.3261420580192,Most Expensive,4.8,636.8836587710006,122.4489281522304,951.2688269884484,24,Scandinavian,60.164,24.948,536.326,636.884
Pompier,60.1671925257657,24.9492107925732,792.4308772006144,Expensive,4.8,571.8976018726489,94.63812008301196,999.1270735663578,25,Scandinavian,60.167,24.949,792.431,571.898
Finlandia Caviar Shop & Restaurant,60.16691,24.95163,721.2843662190343,Not Listed,5.0,612.2981543333942,76.54612569852911,953.837586910938,24,Specialty Food,60.167,24.952,721.284,612.298
Trillby & Chadwick,60.16835,24.9538,857.269753444925,Affordable,4.7,621.014858624584,94.99708204340364,959.9253801183216,23,Speakeasies,60.168,24.954,857.27,621.015
Signora Delizia,60.1676788,24.9626503,831.1032095960884,Affordable,4.7,661.7230653953525,236.7115855065546,929.6728013474336,13,Coffee & Tea,60.168,24.963,831.103,661.723
Zucchini,60.1662313763646,24.9494676174376,693.7201908097707,Most Affordable,4.7,591.5434050760156,136.93437042463597,928.1117790779756,25,Vegetarian,60.166,24.949,693.72,591.543
Rikhardinkadun kirjasto,60.1662407,24.9464092,795.7849702571875,Not Listed,4.7,610.2852971065015,133.19013710374094,988.1978813060782,29,Libraries,60.166,24.946,795.785,610.285
Bar Haven,60.1666,24.95164,663.8150281448364,Expensive,4.6,616.8724555636057,116.28100588039968,981.0233571584932,24,Champagne Bars,60.167,24.952,663.815,616.872
Olo,60.1680572300478,24.9564699456096,784.7836229111424,Most Expensive,4.6,605.1848484752882,113.35941944986416,964.434287954659,18,Scandinavian,60.168,24.956,784.784,605.185
Ravintola Aino,60.1681595,24.9502296,842.2107521157756,Most Expensive,4.6,566.2851507681563,65.92999035872478,949.944802685714,24,Scandinavian,60.168,24.95,842.211,566.285
Trocadero,60.1647987,24.9426403,889.8285291788148,Not Listed,4.8,638.4701394302793,164.48250006095137,988.7966280474544,31,French,60.165,24.943,889.829,638.47
Ora,60.15766,24.94254,838.1051851347291,Not Listed,5.0,641.9922684772204,134.69811087674998,943.8870337145518,14,Scandinavian,60.158,24.943,838.105,641.992
Demo,60.1648301,24.9415088,922.4928648666632,Most Expensive,4.5,627.3347615751263,143.13207390225915,991.2505687304424,30,Scandinavian,60.165,24.942,922.493,627.335
Yes yes yes,60.1642087586756,24.9439802393317,769.3189085990741,Not Listed,5.0,628.5749864053487,144.07974521515555,955.8632630610985,28,Vegan,60.164,24.944,769.319,628.575
Shelter,60.16898,24.95993,916.6880511229192,Expensive,4.5,633.4976130099838,109.11896552592448,916.6880511229192,15,Modern European,60.169,24.96,916.688,633.498
Palace,60.1652603,24.9518204,529.1451413852319,Most Expensive,4.8,615.937880752418,64.95749223344843,943.8816047637388,22,Scandinavian,60.165,24.952,529.145,615.938
