Name,Category ID,Category Name,Latitude,Longitude,Distance,Popularity,Price,Rating,Description
Pizzeria Tuplaässä,13032,"Cafe, Coffee, and Tea House",60.229865,24.895995,59,0.9216992111728954,1.0,6.4,
Konnichiwa,13276,Sushi Restaurant,60.237228,24.890393,898,0.953333117806802,2.0,6.2,"Konnichiwa on viihtyisä japanilainen ravintola, joka tarjoilee monipuolista aasialaista ruokaa. Tarjoamme laadukkaan ja monipuolisen sushibuffetin. Lisäksi tarjoamme herkullisen lämpimän buffetin, johon kuuluu vaihtuvia liha- ja kasvisruokia, keiton, sekä jälkiruoat kahveineen."
Hesburger,13145,Fast Food Restaurant,60.237483,24.893589,891,0.9977935471356524,1.0,5.2,Hesburger-ravintolassa saat aina herkullisen hampurilaisen iloisen asiakaspalvelun kera. Tervetuloa herkuttelemaan!
HSL 1659 Ida Aalbergin tie,19043,Bus Stop,60.22977,24.895319,30,0.25653045389887497,,,
HSL 1658 Ida Aalbergin tie,19043,Bus Stop,60.228994,24.894682,63,0.9929037889564205,,,
Haagan Helmi,13018,Pub,60.229876,24.896999,107,0.8720823095823096,1.0,,
Hsl 1760,19043,Bus Stop,60.229973,24.899369,235,0.9155324582956161,,,"WGS84 koordinaatit lat: 60.23011 lon: 24.89910 /// Ida Aalbergin tie, pysäkki 1760, osoite Ida Aalbergin tie /// J31 * Munkkivuori J31 ** Pohjois-Haaga"
HSL 1755 Pastori Jussilainen,19043,Bus Stop,60.228281,24.891708,235,0.39053407474460106,,,WGS84 koordinaatit lat: 60.22812 lon: 24.89191 Pysäkkikoodi: 1293111
Pohjois-Haaga Pizza House,13064,Pizzeria,60.225886,24.894519,403,0.9736761282813914,1.0,,
HSL 1657 Thalianaukio,19043,Bus Stop,60.225822,24.895163,408,0.7699227337385232,,,
Hsl 1663,19043,Bus Stop,60.232727,24.889783,466,0.9547555929134877,,,
HSL 1637 Teuvo Pakkalan tie,19043,Bus Stop,60.22655,24.902531,520,0.13910351739299107,,,
HSL 1624 Näyttelijäntie,19043,Bus Stop,60.232614,24.887998,526,0.49401913875598086,,,
HSL 1636 Teuvo Pakkalan tie,19043,Bus Stop,60.226619,24.902786,526,0.9297814560972456,,,
Aino Acktén puiston koira-aitaus,16033,Dog Park,60.225993,24.888734,528,0.951393379024958,,,
HSL 1606 Kantelettarentie,19043,Bus Stop,60.234127,24.892825,530,0.9150717703349283,,,
HSL 1947 Pirkkolan urheilupuisto,19043,Bus Stop,60.23221,24.903198,534,0.9332810681494892,,,
HSL 1625 Näyttelijäntie,19043,Bus Stop,60.233079,24.887882,566,0.9231459330143541,,,
HSL 1607 Kantelettarentie,19043,Bus Stop,60.2348,24.892681,605,0.9510781714729083,,,
HSL 1944 Pirkkolantie,19043,Bus Stop,60.228087,24.906084,620,0.9836415362731152,,,
HSL 1633 Ilkantie,19043,Bus Stop,60.223924,24.89669,625,0.9375646579593948,,,
HSL 1945 Pirkkolantie,19043,Bus Stop,60.228579,24.906388,625,0.9517247510668563,,,
HSL 1638 Hämeenlinnanväylä,19043,Bus Stop,60.227627,24.907099,688,0.9653352515194621,,,
HOK-Elannon Ravintolat,13065,Restaurant,60.230201,24.882235,719,0.3819588128798655,,,
Lassilan Pizza & Kebab Palvelu,13288,Kebab Restaurant,60.229787,24.881497,756,0.9599039829302988,,,
Pub 123 Olohuone,13018,Pub,60.231196,24.881359,786,0.9212708521919049,1.0,,
Fafa's,13144,Falafel Restaurant,60.23653,24.891811,803,0.004534139402560455,1.0,,
Prisman ravintolat,13065,Restaurant,60.236672,24.893222,804,0.9991351997930945,,,
Oral Hammaslääkärit,15007,Dentist,60.237128,24.891307,874,0.9900022630285789,,,
One Bowl,13072,Asian Restaurant,60.237203,24.891668,877,0.9937039312039312,2.0,,
Kamu Kebab,13288,Kebab Restaurant,60.237177,24.891247,880,0.857873723005302,,,
Bangcook Thai Street Food,13352,Thai Restaurant,60.23717,24.891142,881,0.5786725720936248,2.0,,
Kantsun Sävel,13065,Restaurant,60.237137,24.890617,885,0.9921198111987586,,,
Kotipizza,13064,Pizzeria,60.237226,24.891188,886,0.9527431139273245,1.0,,
Spaghetteria,13236,Italian Restaurant,60.237323,24.891069,898,0.9740155825682142,2.0,,"Tarjoamme fiksumman ruokanautinnon helposti ja nopeasti. Kun yhdistää italialaisen keittiön klassikot, sesonkien tuomat herkulliset raaka-aineet, saapasmaan kuuluisan keittotaidon sekä makujen ja laadun nimeen vannomisen, pääsemme Spaghetterian ytimeen. Meillä jokainen suupala on nautinnon hetki."
Fire Wok,13072,Asian Restaurant,60.237323,24.891069,898,0.9733851674641149,2.0,,
Oral,15007,Dentist,60.237529,24.891835,911,0.9238410060778481,,,
Hsl 1672,19043,Bus Stop,60.237509,24.89152,912,0.8983819345661451,,,
HSL 1653 Ilkantie 11,19043,Bus Stop,60.221431,24.89962,929,0.8686150265097633,,,
HSL 1948 Kaarelankulku,19043,Bus Stop,60.23791,24.897027,940,0.9828818052502263,,,
Valkea talo,11039,Event Space,60.221493,24.902259,971,0.9660626535626535,,,"Valkea talo tarjoaa hyvät mahdollisuudet seminaarien,kokousten ja erilaisten tilaisuuksien järjestämiseen. Monipuoliset ja muunneltavat tilat, hyvät liikenneyhteydet. Valkean talon omistavat; Kuurojen liitto, Kuuloliitto,Kuurojen Palvelusäätiö ja Kuulovammaisten Lasten Vanhempien Liitto."
Svk Kirjasto,12080,Library,60.237957,24.900252,980,0.5668078365446787,,,
Curious Goat,13199,Indian Restaurant,60.222151,24.905188,985,0.9540847665847666,2.0,,
Fatehgarh Oy,13065,Restaurant,60.229694,24.894959,25,,,,
KotiHammas Oy,15007,Dentist,60.22704,24.906119,661,,,,
Thai Hung Tmi,13065,Restaurant,60.229751,24.881767,741,,,,
Johanna Säkkinen,15007,Dentist,60.230897,24.881612,765,,,,
Happy Break Oy,13065,Restaurant,60.22371,24.905773,868,,,,
IKEA Bistro,13058,Hot Dog Joint,60.276668,25.084177,957,0.9771375663259856,1.0,7.3,
Helsingin kaupunginkirjasto Puistolan kirjasto,12080,Library,60.271144,25.058608,783,0.9686974654079917,,7.1,Puistolan kirjasto on osa Helsingin kaupunginkirjastoa ja HelMet-kirjastoa.
Ikea,13034,Café,60.276649,25.083861,944,0.9965457070617143,1.0,5.4,
HSL 3415 Heikinlaakso,19043,Bus Stop,60.270244,25.072053,36,0.881853743695849,,,WGS84 koordinaatit lat: 60.27016 lon: 25.07203 Pysäkkikoodi: 1412134
HSL 3416 Heikinlaakso,19043,Bus Stop,60.269785,25.072272,51,0.30647872753135913,,,WGS84 koordinaatit lat: 60.26959 lon: 25.07277 Pysäkkikoodi: 1412118
HSL 3414 Kalliotie,19043,Bus Stop,60.266659,25.070979,404,0.9195412517780939,,,
HSL 3417 Nummitie,19043,Bus Stop,60.270057,25.063103,529,0.12019914651493599,,,WGS84 koordinaatit lat: 60.26989 lon: 25.06314
Villa Severino,13236,Italian Restaurant,60.274326,25.077736,535,0.9873432044484676,2.0,,
Heikinlaakson koira-aitaus,16033,Dog Park,60.265306,25.066961,629,0.95254914004914,,,
HSL 3436 Puistolan raitti,19043,Bus Stop,60.269718,25.061024,645,0.9200908444329498,,,WGS84 koordinaatit lat: 60.26945 lon: 25.06115 Pysäkkikoodi: 1411111
Pizza Hut,13064,Pizzeria,60.274685,25.081832,708,0.9873580000712225,1.0,,
Espresso House,13034,Café,60.275062,25.081146,713,0.9755350592927602,1.0,,
Wok Wok,13072,Asian Restaurant,60.27502,25.081311,715,0.3932908372208967,2.0,,
Bravo Mama,13065,Restaurant,60.275004,25.081897,736,0.2789430575834194,,,
HSL 3420 Puistolan VPK,19043,Bus Stop,60.269929,25.0585,783,0.9303148842622527,,,
HSL 3410 Suurmetsäntie,19043,Bus Stop,60.262783,25.069466,843,0.9385587740850899,,,
HSL 3409 Suurmetsäntie,19043,Bus Stop,60.262473,25.06871,886,0.9505043320832794,,,
Pizzeria Jakomäki Express,13064,Pizzeria,60.264367,25.08487,932,0.9493566533040217,1.0,,
Koirakalliot,16033,Dog Park,60.269021,25.08963,942,0.42264483382904433,,,
Ravintola Hideaway,13003,Bar,60.263986,25.084654,954,0.5114848700375016,2.0,,
HSL 3501 Jakomäen Ostoskeskus,19043,Bus Stop,60.261614,25.073493,955,0.7919791801370749,,,
HSL V6413 Kuusikkotie,19043,Bus Stop,60.278371,25.078592,964,0.979487909974716,,,
Hsl 3518,19043,Bus Stop,60.262132,25.079319,967,0.07442131126341653,,,"WGS84: 60.26209, 25.07929"
HSL 3500 Jakomäen Ostosk,19043,Bus Stop,60.261419,25.073731,977,0.9193311134100608,,,
HSL 3519 Huokotie,19043,Bus Stop,60.262032,25.080235,998,0.06598344756239494,,,
Leila Tenhunen,15007,Dentist,60.267029,25.068488,421,,,,
Oikeustalon Kahvio Tmi Helena Jokinen,13065,Restaurant,60.272697,25.057396,887,,,,
Futo,13099,Chinese Restaurant,60.170428,24.763899,653,0.994879696955105,1.0,8.4,
Näköalaravintola Haikaranpesä,13030,Buffet,60.161522,24.764973,698,0.9572077494743263,2.0,7.9,Ravintola Haikaranpesä on perinteikäs näköalaravintola Espoon Haukilahdessa. Ravintola Haikaranpesä on perheyritys jo kolmannessa sukupolvessa.
Haukilahti Library (Haukilahden kirjasto),12080,Library,60.160725,24.782872,853,0.9886679186529911,,7.0,Haukilahden kirjasto on osa Espoon kaupunginkirjastoa ja HelMet-kirjastoa.
Ravintola Ukkohauki,13030,Buffet,60.170242,24.763449,659,0.9847514486123818,2.0,6.5,"Tervetuloa uudistuneeseen ja entistäkin upeampaan Deliroom Ukkohaukeen! Monille tuttu, jo yli 10 vuotta Espoon Haukilahdessa palvellut mutkaton ja rennon tyylikäs ravintolamme tunnetaan hyvästä ruuasta ja ystävällisestä palvelusta."
Kotipizza Haukilahti,13064,Pizzeria,60.163179,24.774457,381,0.9588931156803262,1.0,5.9,
Ravintola E. T. Charlie,13065,Restaurant,60.162843,24.77577,440,0.9811399495995249,,5.8,"Ravintola E. T. Charlie on kodikas, olohuonetyyppinen perheravintola Haukilahden ostoskeskuksessa. Ravintolassamme on 150 asiakaspaikkaa. Kesäisin ruoasta voi nauttia myös viihtyisällä terassillamme."
McDonald's,13145,Fast Food Restaurant,60.171187,24.778208,603,0.9985232981814096,1.0,5.4,
HSL E2350 Kuhatie,19043,Bus Stop,60.166329,24.773652,55,0.2980369496476782,,,WGS84 koordinaatit lat: 60.16652 lon: 24.77253 Pysäkkikoodi: 2232223
HSL E2353 Niittysilta,19043,Bus Stop,60.167044,24.770069,157,0.9849119596796199,,,WGS84 koordinaatit lat: 60.16709 lon: 24.77023 Pysäkkikoodi: 2232226
HSL E2152 Haukilahdensolmu,19043,Bus Stop,60.167964,24.771314,179,0.9495674226737933,,,WGS84 koordinaatit lat: 60.16774 lon: 24.76961 Pysäkkikoodi: 2214291
HSL E2151 Niittysilta,19043,Bus Stop,60.168216,24.767056,365,0.6731994671032567,,,
