Data Point,Foursquare Name,Foursquare Popularity,Foursquare Price,Matched Name,Yelp Name,Yelp Price,Search,Category,Rounded Latitude,Rounded Longitude,Rating
Point of Interest,,,,,Azadi,Not Listed,pizza,Pizza,60.208,25.083,3.4
Point of Interest,B-Side Bar,0.9965327169274538,Affordable,B-Side Bar,,,13007,Beer Garden,60.19,24.972,8.7
Point of Interest,,,,,B-Side Bar,Affordable,bars,Bars,60.19,24.973,10.0
Point of Interest,,,,,B-Smokery,Affordable,burgers,Burgers,60.19,24.972,8.0
Point of Interest,,,,,BB.Badger&co,Not Listed,pubs,Pubs,60.163,24.946,10.0
Point of Interest,BLINIt,0.9749207939997414,Not Listed,BLINIt,BLINIt,Most Affordable,13330,Blini House,60.188,24.945,7.9
Point of Interest,,,,,Baari 7-Veljestä,Not Listed,pubs,Pubs,60.195,24.938,4.0
Point of Interest,Bali Brunch Helsinki,0.7864105133841975,Not Listed,Bali Bagus Helsinki,,,13065,Restaurant,60.188,24.978,
Point of Interest,,,,,Bali Bagus Helsinki,Not Listed,indonesian,Indonesian,60.18,24.961,10.0
Point of Interest,Bali Brunch,0.9239137462821674,Affordable,Bali Brunch,,,13225,Indonesian Restaurant,60.186,24.979,7.6
Point of Interest,,,,,Bali Brunch,Not Listed,indonesian,Indonesian,60.189,24.958,10.0
Point of Interest,,,,,Bambu,Affordable,asianfusion,Asian Fusion,60.186,24.962,5.2
Point of Interest,Bambo,0.1940142894090262,Most Affordable,Bambu,,,13099,Chinese Restaurant,60.189,24.968,
Point of Interest,,,,,Bandipur,Not Listed,himalayan,Himalayan/Nepalese,60.22,24.937,6.0
Point of Interest,Banu Café,0.928706517522307,Most Affordable,Banu Cafe,Banu Cafe,Not Listed,13034,Café,60.158,24.909,8.75
Point of Interest,Bhajan Cafe,0.6989525410578042,Affordable,Banu Cafe,,,13377,Vegan And Vegetarian Restaurant,60.196,24.942,
Point of Interest,Bar Bhangra,0.9761008017586964,Affordable,Bar Bhangra,Bar Bhangra,Most Affordable,13003,Bar,60.175,24.922,8.0
Point of Interest,,,,,Bar Bronco,Not Listed,restaurants,Restaurants,60.187,24.962,6.6
Point of Interest,,,,,Bar Favela,Affordable,bars,Bars,60.172,24.92,9.6
Point of Interest,Bar Favela,0.9935503685503686,Affordable,Bar Favela,,,13003,Bar,60.172,24.921,8.6
Point of Interest,Bar Flagon,0.9779435536014484,Most Affordable,Bar Flagon,,,13010,Dive Bar,60.187,24.964,5.8
Point of Interest,,,,,Bar Flagon,Not Listed,divebars,Dive Bars,60.187,24.965,5.0
Point of Interest,Bar Haven,0.9579076684339842,Expensive,Bar Haven,,,13013,Hotel Bar,60.167,24.951,7.8
Point of Interest,,,,,Bar Haven,Expensive,champagne_bars,Champagne Bars,60.167,24.952,9.2
Point of Interest,,,,,Bar Idän Tähti,Most Affordable,divebars,Dive Bars,60.208,25.081,6.6
Point of Interest,,,,,Bar Lepakkomies,Affordable,bars,Bars,60.188,24.96,6.4
Point of Interest,,,,,Bar Llamas,Affordable,bars,Bars,60.163,24.942,8.4
Point of Interest,Bar Loosister,0.9969610759084444,Affordable,Bar Loosister,Bar Loosister,Affordable,13003,Bar,60.187,24.961,7.2
Point of Interest,Bar Mendocino,0.983544549334023,Not Listed,Bar Mendocino,Bar Mendocino,Most Affordable,13006,Beer Bar,60.166,24.932,7.55
Point of Interest,,,,,Bar Mucava,Most Affordable,lounges,Lounges,60.184,24.958,7.0
Point of Interest,,,,,Bar Ohana,Most Affordable,bars,Bars,60.173,24.725,8.0
Point of Interest,,,,,Bar Oravanhäntä,Not Listed,pubs,Pubs,60.176,24.793,6.0
