Data Point,Foursquare Name,Foursquare Popularity,Foursquare Price,Matched Name,Yelp Name,Yelp Price,Search,Category,Rounded Latitude,Rounded Longitude,Rating
Point of Interest,,,,,Pizzeria Golden Rax Pizzabuffet,Not Listed,pizza,Pizza,60.212,25.083,6.0
Point of Interest,Golden Rax Pizzabuffet,0.9262846764716356,Most Affordable,Pizzeria Golden Rax Pizzabuffet,,,13032,"Cafe, Coffee, And Tea House",60.292,25.043,5.5
Point of Interest,,,,,Pizzeria Luca,Not Listed,pizza,Pizza,60.16,24.88,10.0
Point of Interest,Pizzeria Luca,0.9971631320315528,Most Affordable,Pizzeria Luca,,,13064,Pizzeria,60.16,24.881,7.7
Point of Interest,Pizzeria Luna,0.7032038018880125,Most Affordable,Pizzeria Luca,,,13064,Pizzeria,60.238,24.888,
Point of Interest,Pizzeria Suzan,0.9411345749795236,Not Listed,Pizzeria Luca,,,13032,"Cafe, Coffee, And Tea House",60.318,25.077,
Point of Interest,Pizzeria Online,0.935123819992241,Most Affordable,Pizzeria Online,Pizzeria Online,Not Listed,13064,Pizzeria,60.224,24.859,5.699999999999999
Point of Interest,Pizzeria Ravintola Road House,0.9862120993242482,Most Affordable,Pizzeria Ravintola Rose Way,,,13064,Pizzeria,60.173,24.728,6.0
Point of Interest,,,,,Pizzeria Ravintola Rose Way,Most Affordable,restaurants,Restaurants,60.208,24.887,8.0
Point of Interest,Pizzeria Via Tribunali,0.9889030777188672,Affordable,Pizzeria Via Tribunali,Pizzeria Via Tribunali,Not Listed,13064,Pizzeria,60.168,24.952,8.65
Point of Interest,,,,,Playground,Affordable,bars,Bars,60.163,24.943,7.6
Point of Interest,,,,,Pohjanpoika,Not Listed,bars,Bars,60.261,25.076,6.0
Point of Interest,,,,,Pohjois-Haagan Kirjasto,Not Listed,libraries,Libraries,60.232,24.887,6.8
Point of Interest,,,,,Poiju,Not Listed,indpak,Indian,60.161,24.915,6.0
Point of Interest,,,,,Pointin Kirjasto,Not Listed,libraries,Libraries,60.285,24.957,7.0
Point of Interest,,,,,Pompei,Affordable,italian,Italian,60.174,24.953,8.0
Point of Interest,,,,,Pompier,Affordable,scandinavian,Scandinavian,60.165,24.933,9.2
Point of Interest,,,,,Pompier,Expensive,scandinavian,Scandinavian,60.167,24.949,9.6
Point of Interest,Popomama,0.9532752283269932,Affordable,Popomama,Popomama,Not Listed,13106,Dim Sum Restaurant,60.162,24.738,8.9
Point of Interest,,,,,Populus,Affordable,karaoke,Karaoke,60.189,24.955,6.2
Point of Interest,,,,,Popup Showroom,Expensive,cocktailbars,Cocktail Bars,60.167,24.931,10.0
Point of Interest,,,,,Primula,Affordable,scandinavian,Scandinavian,60.16,24.942,6.6
Point of Interest,,,,,Prithvi Planet,Affordable,indpak,Indian,60.163,24.792,8.0
Point of Interest,Pub 99,0.9955062718220612,Expensive,Pub 94,,,13018,Pub,60.182,24.927,5.5
Point of Interest,,,,,Pub 94,Not Listed,divebars,Dive Bars,60.239,25.076,5.4
Point of Interest,,,,,Pub Cheers,Affordable,danceclubs,Dance Clubs,60.221,25.139,5.4
Point of Interest,Pub Cheers,0.9513610500452604,Affordable,Pub Cheers,,,13003,Bar,60.221,25.14,
Point of Interest,,,,,Pub East-West,Expensive,pubs,Pubs,60.199,24.941,4.0
Point of Interest,,,,,Pub Kasin Kulma,Most Affordable,pubs,Pubs,60.197,24.962,2.0
Point of Interest,,,,,Pub Magneetti,Most Affordable,bars,Bars,60.194,24.958,8.4
Point of Interest,,,,,Pub Pete,Affordable,bars,Bars,60.17,24.923,7.0
Point of Interest,,,,,Pueblo,Affordable,mexican,Mexican,60.165,24.929,8.4
Point of Interest,Pasilan Pizzapalvelu,0.9176904176904176,Most Affordable,Puistolan Pizzapalvelu,,,13064,Pizzeria,60.199,24.942,5.1
Point of Interest,Pihlajan Pizzapalvelu,0.2209524117418854,Most Affordable,Puistolan Pizzapalvelu,,,13064,Pizzeria,60.236,25.001,
Point of Interest,,,,,Puistolan Pizzapalvelu,Not Listed,pizza,Pizza,60.274,25.045,8.0
Point of Interest,Puistolan Pizzapalvelu,0.6952912841070735,Most Affordable,Puistolan Pizzapalvelu,,,13032,"Cafe, Coffee, And Tea House",60.275,25.045,
Point of Interest,,,,,Pulmu,Affordable,pubs,Pubs,60.186,24.954,7.6
Point of Interest,Punavuoren Ahven,0.995756821414716,Affordable,Punavuoren Ahven,Punavuoren Ahven,Affordable,13006,Beer Bar,60.161,24.938,7.75
Point of Interest,Puosun Grilli,0.9716055922055826,Most Affordable,Puosun Grilli,Puosun Grilli,Not Listed,13145,Fast Food Restaurant,60.162,24.74,7.0
Point of Interest,Susan Grilli,0.9541817535238588,Most Affordable,Puosun Grilli,,,13145,Fast Food Restaurant,60.266,25.025,6.4
Point of Interest,,,,,Puosun kellari,Not Listed,steak,Steakhouses,60.167,24.952,10.0
Point of Interest,Puotilan Kartano,0.9865430622009568,Not Listed,Puotilan Kartano,Puotilan Kartano,Expensive,13065,Restaurant,60.212,25.107,7.0
Point of Interest,,,,,Puotilan Pizzeria,Most Affordable,kebab,Kebab,60.213,25.096,6.0
Point of Interest,,,,,Purjelaiva Kathrina,Not Listed,tours,Tours,60.164,24.952,10.0
Point of Interest,Pub Päätön Kana,0.9791316436053276,Most Affordable,Päätön Kana,,,13010,Dive Bar,60.214,24.944,6.5
Point of Interest,,,,,Päätön Kana,Not Listed,pubs,Pubs,60.214,24.945,8.0
Point of Interest,,,,,Pörssiklubi,Not Listed,restaurants,Restaurants,60.168,24.949,10.0
Point of Interest,,,,,Qingdao,Not Listed,chinese,Chinese,60.209,25.087,10.0
Point of Interest,,,,,Quick Wok,Most Affordable,chinese,Chinese,60.189,24.958,6.0
Point of Interest,,,,,Qulma,Affordable,brasseries,Brasseries,60.171,24.957,8.8
Point of Interest,Rajasaaren koira-aitaus,0.9569054700633648,Not Listed,Rajasaaren koirapuisto,,,16033,Dog Park,60.182,24.903,9.2
Point of Interest,,,,,Rajasaaren koirapuisto,Not Listed,dog_parks,Dog Parks,60.182,24.909,8.6
Point of Interest,Rajatorpan koirapuisto,0.1673729568035326,Not Listed,Rajasaaren koirapuisto,,,16033,Dog Park,60.26,24.829,
Point of Interest,,,,,Rastila Express Pizzeria,Not Listed,pizza,Pizza,60.204,25.119,6.6
Point of Interest,Rastilan Kartano,0.984029484029484,Not Listed,Rastilan Kartano,Rastilan Kartano,Not Listed,13065,Restaurant,60.207,25.121,7.7
Point of Interest,Rastilan Kartano,0.05534721324195,Not Listed,Rastilan Kartano,,,13065,Restaurant,60.208,25.118,
Point of Interest,,,,,Ravintola 91.1,Most Affordable,restaurants,Restaurants,60.196,24.944,6.6
Point of Interest,"Ravintola 91, 1",0.939851933272986,Affordable,Ravintola 91.1,,,13145,Fast Food Restaurant,60.197,24.944,
Point of Interest,Ravintola 91.1,0.9356249191775508,Not Listed,Ravintola 91.1,,,13030,Buffet,60.215,24.881,
Point of Interest,,,,,Ravintola Aino,Most Expensive,scandinavian,Scandinavian,60.168,24.95,9.2
Point of Interest,Ravintola Amarin,0.9030777188671926,Affordable,Ravintola Aino,,,13352,Thai Restaurant,60.194,25.034,
Point of Interest,Ravintola Ageno,0.9451700504332085,Not Listed,Ravintola Aino,,,13194,Himalayan Restaurant,60.195,24.958,
Point of Interest,Ravintola Ani,0.0,Not Listed,Ravintola Aito,,,13034,Café,60.157,24.934,
Point of Interest,Ravintola Silta,0.0177405276089486,Not Listed,Ravintola Aito,,,13065,Restaurant,60.162,24.902,
Point of Interest,,,,,Ravintola Aito,Most Expensive,scandinavian,Scandinavian,60.176,24.921,8.8
Point of Interest,Ravintola Koto,0.9462625974858444,Not Listed,Ravintola Aito,,,13065,Restaurant,60.255,24.825,
Point of Interest,Ravintola Niitty,0.3259499305580285,Most Affordable,Ravintola Aito,,,13018,Pub,60.313,25.035,
Point of Interest,Ravintola Alfa,0.9685237797146112,Not Listed,Ravintola Albela,,,13065,Restaurant,60.162,24.724,
Point of Interest,Ravintola Almas,0.9932109142635458,Not Listed,Ravintola Albela,,,13317,Persian Restaurant,60.18,24.975,
Point of Interest,Ravintola Ambra,0.9307513254881676,Affordable,Ravintola Albela,,,13236,Italian Restaurant,60.234,25.012,
Point of Interest,,,,,Ravintola Albela,Not Listed,gastropubs,Gastropubs,60.262,24.804,4.0
Point of Interest,Ravintola Saslik,0.9796569895254106,Not Listed,Ravintola Base,,,13139,Eastern European Restaurant,60.159,24.949,7.0
Point of Interest,Ravintola Pastis,0.9820493340230184,Affordable,Ravintola Base,,,13148,French Restaurant,60.164,24.948,8.6
Point of Interest,Ravintola Zorbas,0.9835122203543256,Affordable,Ravintola Base,,,13177,Greek Restaurant,60.188,24.948,8.4
Point of Interest,Ravintola Base,0.9967897786552384,Affordable,Ravintola Base,,,13065,Restaurant,60.217,24.811,6.0
Point of Interest,,,,,Ravintola Base,Affordable,restaurants,Restaurants,60.218,24.812,7.2
Point of Interest,Ravintola Backas,0.963890174851323,Not Listed,Ravintola Base,,,13065,Restaurant,60.285,24.955,
Point of Interest,Ravintola Borneo,0.9902770593560069,Affordable,Ravintola Bistro,,,13299,Malay Restaurant,60.152,24.88,8.6
Point of Interest,Ravintola Båt,0.9640986680460364,Not Listed,Ravintola Bistro,,,13065,Restaurant,60.161,24.927,
Point of Interest,Ravintola Kirjo,0.9668223624018876,Not Listed,Ravintola Bistro,,,13065,Restaurant,60.188,24.807,
Point of Interest,Ravintola Loisto,0.9694167852062588,Affordable,Ravintola Bistro,,,13199,Indian Restaurant,60.201,25.151,5.9
Point of Interest,Ravintola Minttu Bistro,0.4650487151089068,Not Listed,Ravintola Bistro,,,13065,Restaurant,60.221,24.814,
Point of Interest,Ravintola Sitrus,0.6281827570243225,Not Listed,Ravintola Bistro,,,13065,Restaurant,60.281,24.817,
Point of Interest,,,,,Ravintola Bistro,Not Listed,restaurants,Restaurants,60.295,24.971,6.0
Point of Interest,Ravintola Buccis,0.451550870695488,Affordable,Ravintola Bistro,,,13015,Karaoke Bar,60.303,25.047,6.3
Point of Interest,,,,,Ravintola Bistro Piratti,Not Listed,pubs,Pubs,60.159,24.876,5.0
Point of Interest,,,,,Ravintola Bluebell,Not Listed,buffets,Buffets,60.205,24.779,8.0
Point of Interest,,,,,Ravintola Britannia,Affordable,burgers,Burgers,60.241,24.886,6.8
Point of Interest,,,,,Ravintola Buddha,Not Listed,food,Food,60.173,24.932,10.0
Point of Interest,Ravintola Kappeli,0.9982623173412648,Affordable,Ravintola Carelia,,,13034,Café,60.167,24.95,8.2
Point of Interest,,,,,Ravintola Carelia,Expensive,restaurants,Restaurants,60.181,24.927,7.6
Point of Interest,Ravintola Karelia,0.069377990430622,Most Affordable,Ravintola Carelia,,,13049,Diner,60.215,24.957,
Point of Interest,Ravintola Calabria,0.0226868615026509,Most Affordable,Ravintola Carelia,,,13064,Pizzeria,60.281,25.013,
Point of Interest,Ravintola E. T. Charlie,0.9811399495995248,Not Listed,Ravintola E. T. Charlie,,,13065,Restaurant,60.163,24.776,5.8
Point of Interest,,,,,Ravintola E. T. Charlie,Affordable,buffets,Buffets,60.16,24.762,6.6
Point of Interest,Ravintola Everest Katajanokka,0.9692874692874692,Affordable,Ravintola Everest Katajanokka,Ravintola Everest Katajanokka,Affordable,13194,Himalayan Restaurant,60.168,24.966,8.05
Point of Interest,Ravintola Freja,0.6818028603072182,Not Listed,Ravintola Fan,,,13065,Restaurant,60.159,24.736,
Point of Interest,Ravintola Fame,0.1007047717574033,Affordable,Ravintola Fan,,,13336,Scandinavian Restaurant,60.198,24.929,
Point of Interest,Ravintola Frendi,0.936990818569766,Most Affordable,Ravintola Fan,,,13018,Pub,60.211,24.887,5.0
Point of Interest,,,,,Ravintola Fan,Not Listed,panasian,Pan Asian,60.234,25.011,8.0
Point of Interest,Ravintola Fajo,0.9676649691962536,Not Listed,Ravintola Fan,,,13030,Buffet,60.305,24.893,
Point of Interest,,,,,Ravintola Fantasy Club,Most Affordable,danceclubs,Dance Clubs,60.209,25.083,6.0
Point of Interest,Ravintola Fat Lizard,0.994799441421486,Not Listed,Ravintola Fat Lizard,Ravintola Fat Lizard,Not Listed,13065,Restaurant,60.186,24.82,8.0
Point of Interest,,,,,Ravintola Finmeri,Most Affordable,sushi,Sushi Bars,60.211,24.92,6.0
Point of Interest,Ravintola Simrik,0.942252360015518,Not Listed,Ravintola Finmeri,,,13194,Himalayan Restaurant,60.244,24.994,
Point of Interest,Ravintola Peking,0.9798347989137464,Affordable,Ravintola Fino,,,13099,Chinese Restaurant,60.189,24.957,7.8
Point of Interest,Ravintola Piano,0.9920551532393638,Not Listed,Ravintola Fino,,,13030,Buffet,60.198,24.928,
Point of Interest,Ravintola Links,0.973595305832148,Not Listed,Ravintola Fino,,,13065,Restaurant,60.208,25.174,
Point of Interest,,,,,Ravintola Fino,Not Listed,indpak,Indian,60.252,25.01,2.0
Point of Interest,Ravintola Piano 1,0.9256271822061296,Affordable,Ravintola Fino,,,13003,Bar,60.261,24.984,5.0
Point of Interest,Ravintola Domino,0.0,Not Listed,Ravintola Fino,,,13003,Bar,60.274,25.034,
Point of Interest,Ravintola Kohinoor,0.087532495281507,Affordable,Ravintola Fino,,,13015,Karaoke Bar,60.277,24.852,
Point of Interest,Ravintola Pepino,0.94907588761084,Most Affordable,Ravintola Fino,,,13064,Pizzeria,60.301,24.856,
Point of Interest,,,,,Ravintola Freshco,Not Listed,restaurants,Restaurants,60.188,24.923,8.0
Point of Interest,Ravintola Fresco,0.1778497995603258,Not Listed,Ravintola Freshco,,,13030,Buffet,60.197,25.044,
Point of Interest,Ravintola Freeesh,0.2831533686796845,Affordable,Ravintola Freshco,,,13276,Sushi Restaurant,60.207,24.88,
Point of Interest,Ravintola Orion,0.9220063364800208,Not Listed,Ravintola Grön,,,13065,Restaurant,60.153,24.925,
Point of Interest,,,,,Ravintola Grön,Not Listed,vegetarian,Vegetarian,60.164,24.932,10.0
Point of Interest,Ravintola Bröd,0.9840133195396352,Affordable,Ravintola Grön,,,13336,Scandinavian Restaurant,60.164,24.936,7.0
Point of Interest,Ravintola Lukla,0.9696834992887624,Affordable,Ravintola Gurkha,,,13194,Himalayan Restaurant,60.182,24.926,7.4
Point of Interest,Ravintola Zuhat,0.9873674511832408,Most Affordable,Ravintola Gurkha,,,13064,Pizzeria,60.184,24.919,6.3
Point of Interest,Ravintola Gurkha,0.9853953834216992,Affordable,Ravintola Gurkha,,,13003,Bar,60.195,25.028,6.1
Point of Interest,,,,,Ravintola Gurkha,Affordable,himalayan,Himalayan/Nepalese,60.195,25.029,7.4
Point of Interest,Ravintola Aangan,0.9786359769506108,Not Listed,Ravintola Han,,,13194,Himalayan Restaurant,60.161,24.738,7.4
Point of Interest,Ravintola Kannas,0.994528320186215,Affordable,Ravintola Han,,,13065,Restaurant,60.164,24.925,7.6
Point of Interest,Ravintola Nanking,0.989775960170697,Affordable,Ravintola Han,,,13099,Chinese Restaurant,60.166,24.934,8.1
Point of Interest,Ravintola Hanabi,0.3834609396317876,Affordable,Ravintola Han,,,13263,Japanese Restaurant,60.176,24.758,
Point of Interest,,,,,Ravintola Han,Not Listed,mediterranean,Mediterranean,60.187,24.797,6.0
Point of Interest,Ravintola Darshan,0.9792771240139662,Affordable,Ravintola Han,,,13072,Asian Restaurant,60.203,24.899,
Point of Interest,Ravintola Blancco,0.9708715892926418,Affordable,Ravintola Han,,,13030,Buffet,60.215,24.876,5.4
Point of Interest,Ravintola Ilano,0.9351319022371656,Not Listed,Ravintola Han,,,13065,Restaurant,60.236,25.084,
Point of Interest,Ravintola Wang,0.792585348506401,Not Listed,Ravintola Han,,,13065,Restaurant,60.244,24.857,
Point of Interest,Ravintola A-Hana,0.9216103064787275,Affordable,Ravintola Han,,,13003,Bar,60.275,25.031,
Point of Interest,Ravintola Pub Hana,0.8875396175349881,Most Affordable,Ravintola Han,,,13018,Pub,60.277,24.851,
Point of Interest,,,,,Ravintola Hang Out 10,Affordable,pubs,Pubs,60.221,25.139,6.0
Point of Interest,Ravintola Hang Out 10,0.9044355360144832,Affordable,Ravintola Hang Out 10,,,13003,Bar,60.221,25.14,
Point of Interest,,,,,Ravintola Hemingway's,Not Listed,pubs,Pubs,60.177,24.802,6.0
Point of Interest,,,,,Ravintola Henrik,Not Listed,bars,Bars,60.226,24.852,6.0
Point of Interest,Ravintola Hermannin Kukko,0.9556284753653176,Most Affordable,Ravintola Hermannin Kukko,Ravintola Hermannin Kukko,Not Listed,13018,Pub,60.196,24.963,4.55
Point of Interest,Ravintola Hima & Sali Kaapelitehdas,0.9909478856847278,Affordable,Ravintola Hima & Sali Kaapelitehdas,Ravintola Hima & Sali Kaapelitehdas,Most Affordable,13336,Scandinavian Restaurant,60.162,24.903,7.1
Point of Interest,,,,,Ravintola Il Bucatino,Expensive,italian,Italian,60.158,24.935,9.4
Point of Interest,Ravintola Fulbari,0.9647694943747576,Most Affordable,Ravintola Inari,,,13072,Asian Restaurant,60.157,24.932,6.7
Point of Interest,,,,,Ravintola Inari,Not Listed,restaurants,Restaurants,60.162,24.936,10.0
Point of Interest,Ravintola Kaarti,0.9605667270140954,Not Listed,Ravintola Inari,,,13027,Bistro,60.177,24.917,5.5
Point of Interest,Ravintola Mario's,0.983403155647582,Affordable,Ravintola Inari,,,13236,Italian Restaurant,60.178,24.786,
Point of Interest,Ravintola Mauritz,0.9487747316694684,Not Listed,Ravintola Inari,,,13065,Restaurant,60.198,24.878,
Point of Interest,Ravintola Mario,0.0,Not Listed,Ravintola Inari,,,13064,Pizzeria,60.211,25.083,
Point of Interest,Ravintola Amar,0.9603537663921928,Affordable,Ravintola Inari,,,13199,Indian Restaurant,60.221,24.81,
Point of Interest,Ravintola Indreni,0.5459919518535664,Affordable,Ravintola Inari,,,13199,Indian Restaurant,60.323,25.062,
Point of Interest,,,,,Ravintola Jing Cheng,Affordable,chinese,Chinese,60.177,24.928,8.0
Point of Interest,,,,,Ravintola Kaisaniemi,Not Listed,buffets,Buffets,60.177,24.941,7.6
Point of Interest,Ravintola HTC Keilaniemi,0.9823116803903628,Not Listed,Ravintola Kaisaniemi,,,13065,Restaurant,60.179,24.836,
Point of Interest,Ravintola Keilalahden Ranta,0.4024493988860532,Affordable,Ravintola Keilalahden Ranta,,,13030,Buffet,60.176,24.833,4.9
Point of Interest,Ravintola Keilalahti,0.3743278599059405,Not Listed,Ravintola Keilalahden Ranta,,,13065,Restaurant,60.176,24.833,
Point of Interest,,,,,Ravintola Keilalahden Ranta,Not Listed,buffets,Buffets,60.177,24.833,10.0
Point of Interest,Ravintola Konja,0.0,Not Listed,Ravintola Konja 1,,,13022,Sports Bar,60.252,25.008,
Point of Interest,Ravintola Konja 1,0.1514855166170955,Most Affordable,Ravintola Konja 1,Ravintola Konja 1,Not Listed,13064,Pizzeria,60.261,24.984,6.0
Point of Interest,Ravintola Kosi,0.97736793951943,Not Listed,Ravintola Kuu,,,13218,North Indian Restaurant,60.161,24.741,
Point of Interest,Ravintola NJK,0.9458408767619296,Not Listed,Ravintola Kuu,,,13065,Restaurant,60.161,24.964,8.0
Point of Interest,Ravintola Kabuki,0.9742984611405664,Affordable,Ravintola Kuu,,,13276,Sushi Restaurant,60.167,24.924,8.6
Point of Interest,Ravintola Karhu,0.9849185309711626,Not Listed,Ravintola Kuu,,,13065,Restaurant,60.175,24.989,5.6
Point of Interest,Ravintola Kylä,0.9494871671401744,Affordable,Ravintola Kuu,,,13336,Scandinavian Restaurant,60.177,24.805,6.0
Point of Interest,Ravintola Populus,0.981677550756498,Affordable,Ravintola Kuu,,,13015,Karaoke Bar,60.189,24.955,5.1
Point of Interest,,,,,Ravintola Kuu,Expensive,french,French,60.18,24.925,8.8
Point of Interest,Ravintola Kirkuk,0.9926209103840684,Not Listed,Ravintola Kuu,,,13296,Kurdish Restaurant,60.213,25.081,6.8
Point of Interest,Ravintola Ju Fu,0.9568747551725366,Affordable,Ravintola Kuu,,,13102,Cantonese Restaurant,60.284,24.972,5.5
Point of Interest,Ravintola Fuudii,0.9453367045333144,Not Listed,Ravintola Kuu,,,13065,Restaurant,60.296,24.922,
Point of Interest,Ravintola Vaunu,0.9572691710849606,Most Affordable,Ravintola Kuu,,,13049,Diner,60.2,24.935,4.8
Point of Interest,Ravintola Kung Fu,0.943983476371924,Affordable,Ravintola Kuu,,,13072,Asian Restaurant,60.311,24.972,
Point of Interest,Ravintola KuuKuu,0.9866804603646708,Expensive,Ravintola KuuKuu,Ravintola KuuKuu,Expensive,13003,Bar,60.175,24.925,8.5
Point of Interest,,,,,Ravintola La Plage,Not Listed,tapasmallplates,Tapas/Small Plates,60.183,24.996,8.0
Point of Interest,Ravintola Loru,0.9823887883098408,Not Listed,Ravintola Lef,,,13065,Restaurant,60.153,24.88,6.4
Point of Interest,Ravintola Lia,0.9330547652916074,Not Listed,Ravintola Lef,,,13098,Caucasian Restaurant,60.199,24.878,
Point of Interest,Ravintola Lime Leaf,0.9900162116177912,Affordable,Ravintola Lef,,,13032,"Cafe, Coffee, And Tea House",60.218,24.808,5.9
Point of Interest,Ravintola Loru,0.9524763998448208,Not Listed,Ravintola Lef,,,13065,Restaurant,60.24,24.856,
Point of Interest,,,,,Ravintola Lef,Not Listed,thai,Thai,60.252,25.011,8.0
Point of Interest,Ravintola Lento,0.7414265873722445,Most Affordable,Ravintola Lef,,,13049,Diner,60.297,24.981,
Point of Interest,Ravintola Lehtovaara,0.975236001551791,Expensive,Ravintola Lehtovaara,Ravintola Lehtovaara,Most Expensive,13336,Scandinavian Restaurant,60.184,24.916,7.05
Point of Interest,Ravintola Long River,0.9560002586318376,Most Affordable,Ravintola Long River,Ravintola Long River,Not Listed,13099,Chinese Restaurant,60.162,24.859,5.1
Point of Interest,Ravintola Long City,0.9501798369003952,Most Affordable,Ravintola Long River,,,13099,Chinese Restaurant,60.278,24.972,4.8
Point of Interest,Ravintola Lumbini,0.9889354066985646,Not Listed,Ravintola Lumbini,Ravintola Lumbini,Most Affordable,13194,Himalayan Restaurant,60.154,24.887,7.35
Point of Interest,,,,,Ravintola Lämpö,Not Listed,restaurants,Restaurants,60.184,24.975,5.6
Point of Interest,Ravintola Pub Länkkäri,0.5217762900181617,Most Affordable,Ravintola Länkkäri,Ravintola Länkkäri,Not Listed,13018,Pub,60.243,25.112,4.0
Point of Interest,,,,,Ravintola Mama's & Papa's,Not Listed,restaurants,Restaurants,60.18,24.924,8.0
Point of Interest,Ravintola Maxill,0.9716636492952282,Affordable,Ravintola Maxill,Ravintola Maxill,Expensive,13148,French Restaurant,60.16,24.946,8.35
Point of Interest,Ravintola Mexi,0.9541898357687832,Most Affordable,Ravintola Maxill,,,13006,Beer Bar,60.19,24.916,5.4
Point of Interest,Ravintola Ralli,0.9429555153239364,Affordable,Ravintola Maxill,,,13015,Karaoke Bar,60.234,25.012,5.1
Point of Interest,Ravintola Zilla,0.9926640789145684,Not Listed,Ravintola Maxill,,,13065,Restaurant,60.292,25.036,7.0
Point of Interest,Ravintola Merimakasiini,0.9822190611664297,Expensive,Ravintola Merimakasiini,Ravintola Merimakasiini,Most Expensive,13338,Seafood Restaurant,60.161,24.927,6.95
Point of Interest,Ravintola Makasiini,0.340472649683176,Affordable,Ravintola Merimakasiini,,,13336,Scandinavian Restaurant,60.166,24.965,
Point of Interest,Ravintola Mestaritalli,0.9281811716022242,Not Listed,Ravintola Mestarikilta,,,13065,Restaurant,60.158,24.863,
Point of Interest,Ravintola Mestaritalli,0.9671860856071384,Not Listed,Ravintola Mestarikilta,,,13065,Restaurant,60.178,24.913,5.8
Point of Interest,,,,,Ravintola Mestarikilta,Not Listed,restaurants,Restaurants,60.202,24.921,4.0
Point of Interest,Ravintola Merta,0.918805767489978,Not Listed,Ravintola Mode,,,13065,Restaurant,60.189,24.976,
Point of Interest,,,,,Ravintola Mode,Not Listed,pubs,Pubs,60.191,24.942,2.0
Point of Interest,Ravintola Monte,0.8463267042262564,Not Listed,Ravintola Mode,,,13065,Restaurant,60.215,24.841,
Point of Interest,Ravintola Solare,0.9545600227912112,Not Listed,Ravintola Mode,,,13037,Cafeteria,60.258,24.852,
Point of Interest,Ravintola Monal,0.9651736066209752,Not Listed,Ravintola Monal,Ravintola Monal,Not Listed,13072,Asian Restaurant,60.163,24.942,8.05
Point of Interest,Ravintola Bronda,0.9801661709556446,Expensive,Ravintola Monal,,,13139,Eastern European Restaurant,60.167,24.945,7.4
Point of Interest,Ravintola Malacca,0.9907545625270864,Affordable,Ravintola Monal,,,13299,Malay Restaurant,60.175,24.829,
Point of Interest,Ravintola Mero Himal,0.9455822449243502,Not Listed,Ravintola Monal,,,13194,Himalayan Restaurant,60.2,24.938,5.4
Point of Interest,Ravintola Musta Härkä,0.9899699340488816,Most Affordable,Ravintola Musta Härkä,Ravintola Musta Härkä,Affordable,13003,Bar,60.197,24.951,5.4
Point of Interest,Ravintola Istuva Härkä,0.9485241820768135,Most Affordable,Ravintola Musta Härkä,,,13010,Dive Bar,60.244,24.994,
Point of Interest,,,,,Ravintola N:o 11,Affordable,modern_european,Modern European,60.195,24.9,7.6
Point of Interest,Ravintola Jura,0.4468511573774731,Expensive,Ravintola Natura,,,13148,French Restaurant,60.158,24.949,7.4
Point of Interest,,,,,Ravintola Natura,Most Expensive,scandinavian,Scandinavian,60.164,24.942,8.6
Point of Interest,Ravintola Mantra,0.9388012414328204,Affordable,Ravintola Natura,,,13194,Himalayan Restaurant,60.187,25.031,8.1
Point of Interest,Ravintola Yarsa,0.9864864864864864,Not Listed,Ravintola Natura,,,13194,Himalayan Restaurant,60.191,24.945,
Point of Interest,Ravintola Mayur,0.9676791025475237,Not Listed,Ravintola Natura,,,13194,Himalayan Restaurant,60.201,25.15,
Point of Interest,Ravintola Vaahtera,0.1381417302469934,Not Listed,Ravintola Natura,,,13065,Restaurant,60.24,24.846,5.2
Point of Interest,Ravintola New Light,0.4292561101771628,Affordable,Ravintola New Light,,,13064,Pizzeria,60.205,25.136,
Point of Interest,,,,,Ravintola New Light,Not Listed,indpak,Indian,60.205,25.137,8.0
Point of Interest,Ravintola Rokka,0.3495490107332212,Affordable,Ravintola Nokka,,,13336,Scandinavian Restaurant,60.162,24.932,
Point of Interest,Ravintola Fokka,0.956380124143282,Most Affordable,Ravintola Nokka,,,13065,Restaurant,60.165,24.91,5.6
Point of Interest,,,,,Ravintola Nokka,Expensive,scandinavian,Scandinavian,60.169,24.961,8.6
Point of Interest,Ravintola Coma,0.9476512996249838,Affordable,Ravintola Nokka,,,13302,Mediterranean Restaurant,60.175,24.928,7.4
Point of Interest,Ravintola Hook,0.9885232122074228,Most Affordable,Ravintola Nokka,,,13049,Diner,60.183,24.926,6.5
Point of Interest,Ravintola Poukama,0.5483156601577654,Not Listed,Ravintola Nokka,,,13065,Restaurant,60.201,25.15,
Point of Interest,,,,,Ravintola Nova Bistro - Stella Business Park,Not Listed,bistros,Bistros,60.211,24.818,6.0
Point of Interest,Ravintola Nyyrikki,0.5661046812362602,Not Listed,Ravintola Nyyrikki,,,13065,Restaurant,60.214,24.944,
Point of Interest,,,,,Ravintola Nyyrikki,Not Listed,comfortfood,Comfort Food,60.214,24.945,6.0
Point of Interest,Ravintola,0.983011121169016,Affordable,Ravintola OX,,,13034,Café,60.153,24.953,8.0
Point of Interest,,,,,Ravintola OX,Affordable,mediterranean,Mediterranean,60.164,24.945,8.0
Point of Interest,Ravintola Olo,0.9911176128281391,Expensive,Ravintola OX,,,13311,Molecular Gastronomy Restaurant,60.168,24.955,8.7
Point of Interest,Ravintola,0.658833726585448,Not Listed,Ravintola OX,,,13065,Restaurant,60.176,24.831,
Point of Interest,Ravintola BRO,0.9889839001681108,Expensive,Ravintola OX,,,13013,Hotel Bar,60.177,24.951,8.0
