Foursquare Name,Foursquare Popularity,Foursquare Price,Matched Name,Yelp Name,Yelp Price,Search,Category,Rounded Latitude,Rounded Longitude,Rating,Free Bikes
Shuttle Buffet,0.969913113434826,Not Listed,,,,13030,Buffet,60.151,24.918,5.2,0.0
Lounge,0.9752642436352784,Expensive,Loung3,,,13016,Lounge,60.151,24.919,0.0,0.0
Sun Deck,0.9365966662583644,Most Affordable,,,,13018,Pub,60.151,24.919,0.0,0.0
,,,,Hernesaaren Ranta,Affordable,bars,Bars,60.151,24.926,7.4,0.0
Ravintola HSS Paviljong,0.956566015776542,Not Listed,,,,13065,Restaurant,60.151,24.948,0.0,0.0
,,,,,,,,60.152,24.741,2.5561569451742865,4.0
HSL E3129 Matinlahti,0.9692300284104588,Not Listed,,,,19043,Bus Stop,60.152,24.75,0.0,0.0
Hammasanestesia ICE Oy,0.0,Not Listed,,,,15007,Dentist,60.152,24.757,0.0,0.0
Rami's Coffee Oy,0.0,Not Listed,,,,13032,"Cafe, Coffee, And Tea House",60.152,24.757,0.0,0.0
Ravintola Borneo,0.9902770593560069,Affordable,Ravintola Bistro,,,13299,Malay Restaurant,60.152,24.88,8.6,0.0
Nepalilainen Ravintola Fewa,0.4617709815078236,Affordable,,,,13072,Asian Restaurant,60.152,24.88,0.0,0.0
Studio Shangri-La,0.6563591103064788,Not Listed,,,,10012,Country Dance Club,60.152,24.886,0.0,0.0
Peruna & Co Oy,0.0,Not Listed,,,,13065,Restaurant,60.152,24.886,0.0,0.0
Blue Peter,0.9851205870942712,Affordable,Blue Peter,,,13016,Lounge,60.152,24.891,6.5,0.0
,,,,Blue Peter,Affordable,seafood,Seafood,60.152,24.892,5.4,0.0
Uuno Pizza,0.9909155567050304,Most Affordable,,,,13064,Pizzeria,60.152,24.911,0.0,0.0
Pub Seaport,0.0481444960632921,Most Affordable,,,,13018,Pub,60.152,24.92,0.0,0.0
Löyly,0.998084507952929,Expensive,Löyly,Löyly,Expensive,13065,Restaurant,60.152,24.93,8.600000000000001,0.0
HSL 1192 Henry Fordin katu,0.7066468382257856,Not Listed,,,,19043,Bus Stop,60.152,24.93,0.0,0.0
Ravintola Saari,0.936530130609078,Expensive,Ravintola Saaristo,,,13336,Scandinavian Restaurant,60.152,24.942,6.9,0.0
HSL E3121 Kalastajankuja,0.0682332546829103,Not Listed,,,,19043,Bus Stop,60.153,24.728,0.0,0.0
HSL E3108 Sepetlahdentie,0.4196080319738046,Not Listed,,,,19043,Bus Stop,60.153,24.747,0.0,0.0
Ravintola Loru,0.9823887883098408,Not Listed,Ravintola Lef,,,13065,Restaurant,60.153,24.88,6.4,0.0
Ravintola Pisara,0.992984611405664,Not Listed,Ravintola Pyysaari,,,13030,Buffet,60.153,24.88,0.0,0.0
Mitra,0.8901542092331566,Not Listed,,,,13065,Restaurant,60.153,24.88,0.0,0.0
Afg Restaurant,0.4929765291607397,Affordable,,,,13066,Afghan Restaurant,60.153,24.88,0.0,0.0
Afg,0.4147242338031812,Affordable,,,,13066,Afghan Restaurant,60.153,24.88,0.0,0.0
Food Corner,0.6191565369196949,Not Listed,Food corner,,,13065,Restaurant,60.153,24.886,0.0,0.0
Lallukka's,0.8791946851157377,Affordable,,,,13336,Scandinavian Restaurant,60.153,24.888,0.0,0.0
Pizza Express,0.9333618905987328,Most Affordable,Pizza Express,,,13064,Pizzeria,60.153,24.911,0.0,0.0
Sen Viet Vegan Restaurant,0.9656019656019657,Affordable,,,,13377,Vegan And Vegetarian Restaurant,60.153,24.911,0.0,0.0
Tavolàta Ristorante Italiano,0.9177351188505002,Affordable,,,,13236,Italian Restaurant,60.153,24.921,0.0,0.0
Ravintola Orion,0.9220063364800208,Not Listed,Ravintola Grön,,,13065,Restaurant,60.153,24.925,0.0,0.0
Hefe,0.8713872365188154,Not Listed,,,,13065,Restaurant,60.153,24.925,0.0,0.0
,,,,Skiffer Liuskaluoto,Affordable,pizza,Pizza,60.153,24.946,8.2,0.0
Ravintola Skiffer,0.9677014019431268,Affordable,,,,13064,Pizzeria,60.153,24.946,8.7,0.0
Ravintola,0.983011121169016,Affordable,Ravintola OX,,,13034,Café,60.153,24.953,8.0,0.0
,,,,,,,,60.154,24.729,2.5561569451742865,11.0
HSL E3109 Sepetlahdentie,0.9749923757243062,Not Listed,,,,19043,Bus Stop,60.154,24.747,0.0,0.0
Jätemäki,0.9591338822811832,Not Listed,,,,16019,Hiking Trail,60.154,24.758,0.0,0.0
Café Mellsten,0.993788221697886,Affordable,,,,13034,Café,60.154,24.773,8.6,0.0
Sushi Bar,0.388731734126471,Affordable,,,,13276,Sushi Restaurant,60.154,24.867,0.0,0.0
,,,,,,,,60.154,24.879,2.5561569451742865,3.0
,,,,Cafe Bar '52,Most Affordable,restaurants,Restaurants,60.154,24.88,6.6,0.0
Bar '52,0.9919258373205742,Affordable,,,,13003,Bar,60.154,24.88,5.3,0.0
Picnic Finland Oy,0.0,Not Listed,,,,13032,"Cafe, Coffee, And Tea House",60.154,24.88,0.0,0.0
Isodont Oy,0.0,Not Listed,,,,15007,Dentist,60.154,24.88,0.0,0.0
,,,,Thai & China,Affordable,asianfusion,Asian Fusion,60.154,24.881,7.6,0.0
Thai-China ruokaravintola,0.9910529548687445,Affordable,,,,13352,Thai Restaurant,60.154,24.881,5.8,0.0
