Name,Category ID,Category Name,Latitude,Longitude,Distance,Popularity,Price,Rating,Distance_mean,Distance_min,Distance_max,Bike Spots Near,Popularity_mean,Popularity_min,Popularity_max
HSL V6306 Peltolan Tori,19043,Bus Stop,60.29382,25.029723,298,0.9859335493750224,Not Listed,Not Rated,563.9285714285714,28,971,14,0.9859335493750224,0.9859335493750224,0.9859335493750224
PlusTerveys Asematien Hammaslääkärit,15007,Dentist,60.293593,25.03703,300,0.8968697695950999,Not Listed,Not Rated,558.05,40,905,20,0.8968697695950999,0.8968697695950999,0.8968697695950999
HSL V6113 Kaupungintalo,19043,Bus Stop,60.293847,25.03774,307,0.9667034649763184,Not Listed,Not Rated,569.6190476190476,88,928,21,0.9667034649763183,0.9667034649763184,0.9667034649763184
Vintero,13065,Restaurant,60.296007,25.039529,328,0.985007656422492,Not Listed,Not Rated,553.4736842105264,35,988,19,0.985007656422492,0.985007656422492,0.985007656422492
Station,13064,Pizzeria,60.293138,25.038152,379,0.5577436700972188,Most Affordable,Not Rated,588.7272727272727,100,946,22,0.5577436700972188,0.5577436700972188,0.5577436700972188
Putte's Tikkurila,13064,Pizzeria,60.293106,25.039325,427,0.969231864962074,Most Affordable,Not Rated,585.6363636363636,164,979,21,0.969231864962074,0.969231864962074,0.969231864962074
Fizza,13064,Pizzeria,60.299244,25.029116,464,0.5052526619422385,Most Affordable,Not Rated,679.4,55,990,15,0.5052526619422385,0.5052526619422385,0.5052526619422385
"Oral Hammaslääkärit Vantaa, Tikkurila",15007,Dentist,60.291541,25.03613,482,0.9444820341155942,Not Listed,Not Rated,565.3333333333334,207,998,18,0.9444820341155942,0.9444820341155942,0.9444820341155942
HSL V6524 Uimahalli,19043,Bus Stop,60.300103,25.033626,489,0.0676614080695132,Not Listed,Not Rated,644.4,293,902,15,0.0676614080695132,0.0676614080695132,0.0676614080695132
Oral,15007,Dentist,60.291444,25.03625,494,0.4348847975499448,Not Listed,Not Rated,530.2352941176471,217,832,17,0.4348847975499448,0.4348847975499448,0.4348847975499448
Luckiefun's Restaurant Tikkurila,13276,Sushi Restaurant,60.292335,25.041285,564,0.933798653894092,Affordable,Not Rated,528.578947368421,93,895,19,0.933798653894092,0.933798653894092,0.933798653894092
Panda King,13099,Chinese Restaurant,60.292335,25.041285,564,0.287418539225811,Most Affordable,Not Rated,528.578947368421,93,895,19,0.287418539225811,0.287418539225811,0.287418539225811
Fazer Food & Co Neilikkatie,13065,Restaurant,60.290669,25.031411,571,0.599943021972152,Not Listed,Not Rated,535.8333333333334,178,952,12,0.599943021972152,0.599943021972152,0.599943021972152
HSL V6304 Savikkatie,19043,Bus Stop,60.293227,25.024436,574,0.4757309212634877,Not Listed,Not Rated,561.4166666666666,67,994,12,0.4757309212634877,0.4757309212634877,0.4757309212634877
